DATETIME,TIME,LON,LAT,PCO2_ORIGINAL
"""29-JAN-2019""",14250,73.8333,5.26743,413.489
"""29-JAN-2019""",14250,73.9167,5.26743,413.972
"""29-JAN-2019""",14250,74,5.26743,413.634
"""29-JAN-2019""",14250,74.0833,5.26743,414.136
"""29-JAN-2019""",14250,74.1667,5.26743,414.083
"""29-JAN-2019""",14250,74.25,5.26743,414.439
"""29-JAN-2019""",14250,74.3333,5.26743,414.793
"""29-JAN-2019""",14250,74.4167,5.26743,414.794
"""29-JAN-2019""",14250,74.5,5.26743,414.468
"""29-JAN-2019""",14250,74.5833,5.26743,413.795
"""29-JAN-2019""",14250,74.6667,5.26743,412.628
"""29-JAN-2019""",14250,74.75,5.26743,411.969
"""29-JAN-2019""",14250,74.8333,5.26743,411.628
"""29-JAN-2019""",14250,74.9167,5.26743,411.52
"""29-JAN-2019""",14250,75,5.26743,411.884
"""29-JAN-2019""",14250,75.0833,5.26743,411.735
"""29-JAN-2019""",14250,75.1667,5.26743,412.08
"""29-JAN-2019""",14250,75.25,5.26743,412.124
"""29-JAN-2019""",14250,75.3333,5.26743,412.125
"""29-JAN-2019""",14250,75.4167,5.26743,411.403
"""29-JAN-2019""",14250,75.5,5.26743,411.31
"""29-JAN-2019""",14250,75.5833,5.26743,411.444
"""29-JAN-2019""",14250,75.6667,5.26743,411.567
"""29-JAN-2019""",14250,75.75,5.26743,412.094
"""29-JAN-2019""",14250,75.8333,5.26743,413
"""29-JAN-2019""",14250,75.9167,5.26743,413.995
"""29-JAN-2019""",14250,76,5.26743,414.654
"""29-JAN-2019""",14250,76.0833,5.26743,414.877
"""29-JAN-2019""",14250,76.1667,5.26743,414.756
"""29-JAN-2019""",14250,76.25,5.26743,414.551
"""29-JAN-2019""",14250,76.3333,5.26743,414.559
"""29-JAN-2019""",14250,76.4167,5.26743,414.453
"""29-JAN-2019""",14250,76.5,5.26743,414.188
"""29-JAN-2019""",14250,76.5833,5.26743,413.635
"""29-JAN-2019""",14250,76.6667,5.26743,413.657
"""29-JAN-2019""",14250,76.75,5.26743,413.35
"""29-JAN-2019""",14250,76.8333,5.26743,413.563
"""29-JAN-2019""",14250,76.9167,5.26743,413.544
"""29-JAN-2019""",14250,77,5.26743,413.684
"""29-JAN-2019""",14250,77.0833,5.26743,414.114
"""29-JAN-2019""",14250,77.1667,5.26743,414.877
"""29-JAN-2019""",14250,77.25,5.26743,415.815
"""29-JAN-2019""",14250,77.3333,5.26743,416.668
"""29-JAN-2019""",14250,77.4167,5.26743,417.175
"""29-JAN-2019""",14250,77.5,5.26743,417.871
"""29-JAN-2019""",14250,77.5833,5.26743,418.353
"""29-JAN-2019""",14250,77.6667,5.26743,419.17
"""29-JAN-2019""",14250,77.75,5.26743,420.106
"""29-JAN-2019""",14250,77.8333,5.26743,420.66
"""29-JAN-2019""",14250,77.9167,5.26743,420.816
"""29-JAN-2019""",14250,78,5.26743,421.013
