DATETIME,TIME,LON,LAT,MLD
28-Feb-19,14280,65.8333,5.26743,61.2205
28-Feb-19,14280,65.9167,5.26743,61.3144
28-Feb-19,14280,66,5.26743,61.3287
28-Feb-19,14280,66.0833,5.26743,61.4187
28-Feb-19,14280,66.1667,5.26743,61.4044
28-Feb-19,14280,66.25,5.26743,61.3518
28-Feb-19,14280,66.3333,5.26743,61.334
28-Feb-19,14280,66.4167,5.26743,61.3457
28-Feb-19,14280,66.5,5.26743,61.3864
28-Feb-19,14280,66.5833,5.26743,61.4316
28-Feb-19,14280,66.6667,5.26743,61.5071
28-Feb-19,14280,66.75,5.26743,61.6174
28-Feb-19,14280,66.8333,5.26743,61.7626
28-Feb-19,14280,66.9167,5.26743,61.8865
28-Feb-19,14280,67,5.26743,62.0373
28-Feb-19,14280,67.0833,5.26743,62.1183
28-Feb-19,14280,67.1667,5.26743,62.1461
28-Feb-19,14280,67.25,5.26743,62.1159
28-Feb-19,14280,67.3333,5.26743,62.0259
28-Feb-19,14280,67.4167,5.26743,61.8864
28-Feb-19,14280,67.5,5.26743,61.799
28-Feb-19,14280,67.5833,5.26743,61.6745
28-Feb-19,14280,67.6667,5.26743,61.6336
28-Feb-19,14280,67.75,5.26743,61.5419
28-Feb-19,14280,67.8333,5.26743,61.5253
28-Feb-19,14280,67.9167,5.26743,61.4444
28-Feb-19,14280,68,5.26743,61.3699
28-Feb-19,14280,68.0833,5.26743,61.1789
28-Feb-19,14280,68.1667,5.26743,61.0172
28-Feb-19,14280,68.25,5.26743,60.8314
28-Feb-19,14280,68.3333,5.26743,60.736
28-Feb-19,14280,68.4167,5.26743,60.6517
28-Feb-19,14280,68.5,5.26743,60.5501
28-Feb-19,14280,68.5833,5.26743,60.4091
28-Feb-19,14280,68.6667,5.26743,60.3175
28-Feb-19,14280,68.75,5.26743,60.1918
28-Feb-19,14280,68.8333,5.26743,60.1961
28-Feb-19,14280,68.9167,5.26743,60.156
28-Feb-19,14280,69,5.26743,60.263
28-Feb-19,14280,69.0833,5.26743,60.2594
28-Feb-19,14280,69.1667,5.26743,60.3125
28-Feb-19,14280,69.25,5.26743,60.2881
28-Feb-19,14280,69.3333,5.26743,60.1533
28-Feb-19,14280,69.4167,5.26743,59.9543
28-Feb-19,14280,69.5,5.26743,59.3604
28-Feb-19,14280,69.5833,5.26743,58.8916
28-Feb-19,14280,69.6667,5.26743,58.4144
28-Feb-19,14280,69.75,5.26743,58.0103
28-Feb-19,14280,69.8333,5.26743,57.7652
28-Feb-19,14280,69.9167,5.26743,57.44
28-Feb-19,14280,70,5.26743,57.4139
28-Feb-19,14280,70.0833,5.26743,57.2918
28-Feb-19,14280,70.1667,5.26743,57.3037
28-Feb-19,14280,70.25,5.26743,57.2086
28-Feb-19,14280,70.3333,5.26743,57.1051
28-Feb-19,14280,70.4167,5.26743,56.8846
28-Feb-19,14280,70.5,5.26743,56.8852
28-Feb-19,14280,70.5833,5.26743,56.6941
28-Feb-19,14280,70.6667,5.26743,56.3402
28-Feb-19,14280,70.75,5.26743,55.8456
28-Feb-19,14280,70.8333,5.26743,55.4396
28-Feb-19,14280,70.9167,5.26743,54.9981
28-Feb-19,14280,71,5.26743,54.6541
