Total Number of Records          76555.
             DATA SET: /home/las/datasets/pCO2/pCO2-Corrected_INCOIS-BIO-ROMS.nc
             X: 0.5 to 76555.5
 Column  1: DATETIME is Time String
 Column  2: TIME is Time Coordinates (days since 24-JAN-1980 00:00:00)   BAD FLAG : -1.E+34
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34
 Column  5: CHL is Sea-surface chlorophyll concentration (IBR model) (kg/m3)   BAD FLAG : -1.E+34
DATETIME,TIME,LON,LAT,CHL
"29-JAN-2019",14250,73.5,5.26743,1.3055E-07  
"29-JAN-2019",14250,73.5833,5.26743,1.30341E-07  
"29-JAN-2019",14250,73.6667,5.26743,1.31268E-07  
"29-JAN-2019",14250,73.75,5.26743,1.31971E-07  
"29-JAN-2019",14250,73.8333,5.26743,1.33543E-07  
"29-JAN-2019",14250,73.9167,5.26743,1.3349E-07  
"29-JAN-2019",14250,74,5.26743,1.34891E-07  
"29-JAN-2019",14250,74.0833,5.26743,1.34464E-07  
"29-JAN-2019",14250,74.1667,5.26743,1.36547E-07  
"29-JAN-2019",14250,74.25,5.26743,1.35872E-07  
"29-JAN-2019",14250,74.3333,5.26743,1.378E-07  
"29-JAN-2019",14250,74.4167,5.26743,1.36797E-07  
"29-JAN-2019",14250,74.5,5.26743,1.37672E-07  
"29-JAN-2019",14250,74.5833,5.26743,1.36691E-07  
"29-JAN-2019",14250,74.6667,5.26743,1.37364E-07  
"29-JAN-2019",14250,74.75,5.26743,1.3707E-07  
"29-JAN-2019",14250,74.8333,5.26743,1.38086E-07  
"29-JAN-2019",14250,74.9167,5.26743,1.38383E-07  
"29-JAN-2019",14250,75,5.26743,1.40718E-07  
"29-JAN-2019",14250,75.0833,5.26743,1.41665E-07  
"29-JAN-2019",14250,75.1667,5.26743,1.44122E-07  
"29-JAN-2019",14250,75.25,5.26743,1.4625E-07  
"29-JAN-2019",14250,75.3333,5.26743,1.47655E-07  
"29-JAN-2019",14250,75.4167,5.26743,1.49391E-07  
"29-JAN-2019",14250,75.5,5.26743,1.51062E-07  
"29-JAN-2019",14250,75.5833,5.26743,1.52823E-07  
"29-JAN-2019",14250,75.6667,5.26743,1.53493E-07  
"29-JAN-2019",14250,75.75,5.26743,1.54818E-07  
"29-JAN-2019",14250,75.8333,5.26743,1.54882E-07  
"29-JAN-2019",14250,75.9167,5.26743,1.55935E-07  
"29-JAN-2019",14250,76,5.26743,1.54987E-07  
"29-JAN-2019",14250,76.0833,5.26743,1.55995E-07  
"29-JAN-2019",14250,76.1667,5.26743,1.55576E-07  
"29-JAN-2019",14250,76.25,5.26743,1.55726E-07  
"29-JAN-2019",14250,76.3333,5.26743,1.55605E-07  
"29-JAN-2019",14250,76.4167,5.26743,1.55737E-07  
"29-JAN-2019",14250,76.5,5.26743,1.55739E-07  
"29-JAN-2019",14250,76.5833,5.26743,1.54719E-07  
"29-JAN-2019",14250,76.6667,5.26743,1.54323E-07  
"29-JAN-2019",14250,76.75,5.26743,1.55262E-07  
"29-JAN-2019",14250,76.8333,5.26743,1.55996E-07  
"29-JAN-2019",14250,76.9167,5.26743,1.55316E-07  
"29-JAN-2019",14250,77,5.26743,1.55346E-07  
"29-JAN-2019",14250,77.0833,5.26743,1.53502E-07  
"29-JAN-2019",14250,77.1667,5.26743,1.54069E-07  
"29-JAN-2019",14250,77.25,5.26743,1.53912E-07  
"29-JAN-2019",14250,77.3333,5.26743,1.54866E-07  
"29-JAN-2019",14250,77.4167,5.26743,1.54063E-07  
"29-JAN-2019",14250,77.5,5.26743,1.53551E-07  
"29-JAN-2019",14250,77.5833,5.26743,1.54063E-07  
"29-JAN-2019",14250,77.6667,5.26743,1.55296E-07  
"29-JAN-2019",14250,77.75,5.26743,1.57415E-07  
"29-JAN-2019",14250,77.8333,5.26743,1.58339E-07  
"29-JAN-2019",14250,77.9167,5.26743,1.59244E-07  
"29-JAN-2019",14250,78,5.26743,1.59254E-07  
"29-JAN-2019",14250,78.0833,5.26743,1.58979E-07  
"29-JAN-2019",14250,78.1667,5.26743,1.56218E-07  
"29-JAN-2019",14250,78.25,5.26743,1.55519E-07  
"29-JAN-2019",14250,78.3333,5.26743,1.53078E-07  
"29-JAN-2019",14250,78.4167,5.26743,1.52433E-07  
"29-JAN-2019",14250,78.5,5.26743,1.526E-07  
"29-JAN-2019",14250,78.5833,5.26743,1.51571E-07  
"29-JAN-2019",14250,78.6667,5.26743,1.53179E-07  
"29-JAN-2019",14250,78.75,5.26743,1.53801E-07  
"29-JAN-2019",14250,78.8333,5.26743,1.52545E-07  
"29-JAN-2019",14250,78.9167,5.26743,1.48989E-07  
"29-JAN-2019",14250,79,5.26743,1.50092E-07  
"29-JAN-2019",14250,79.0833,5.26743,1.46067E-07  
"29-JAN-2019",14250,79.1667,5.26743,1.45737E-07  
"29-JAN-2019",14250,79.25,5.26743,1.42853E-07  
"29-JAN-2019",14250,79.3333,5.26743,1.43512E-07  
"29-JAN-2019",14250,79.4167,5.26743,1.41517E-07  
"29-JAN-2019",14250,79.5,5.26743,1.41583E-07  
"29-JAN-2019",14250,79.5833,5.26743,1.40768E-07  
