Total Number of Records          76555.
             DATA SET: /home/las/datasets/pCO2/pCO2-Corrected_INCOIS-BIO-ROMS.nc
             X: 0.5 to 76555.5
 Column  1: DATETIME is Time String
 Column  2: TIME is Time Coordinates (days since 24-JAN-1980 00:00:00)   BAD FLAG : -1.E+34
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34
 Column  5: DEVIANT_UNCERTAINTY is Uncertainties (1-sigma) of deviants (micro atm)   BAD FLAG : -1.E+34
DATETIME,TIME,LON,LAT,DEVIANT_UNCERTAINTY
"28-FEB-2019",14280,65.8333,5.26743,1.50702  
"28-FEB-2019",14280,65.9167,5.26743,1.40656  
"28-FEB-2019",14280,66,5.26743,1.43222  
"28-FEB-2019",14280,66.0833,5.26743,1.46036  
"28-FEB-2019",14280,66.1667,5.26743,1.42968  
"28-FEB-2019",14280,66.25,5.26743,1.38983  
"28-FEB-2019",14280,66.3333,5.26743,1.42041  
"28-FEB-2019",14280,66.4167,5.26743,1.42601  
"28-FEB-2019",14280,66.5,5.26743,1.41612  
"28-FEB-2019",14280,66.5833,5.26743,1.42094  
"28-FEB-2019",14280,66.6667,5.26743,1.42793  
"28-FEB-2019",14280,66.75,5.26743,1.40932  
"28-FEB-2019",14280,66.8333,5.26743,1.30879  
"28-FEB-2019",14280,66.9167,5.26743,1.32811  
"28-FEB-2019",14280,67,5.26743,1.27929  
"28-FEB-2019",14280,67.0833,5.26743,1.29785  
"28-FEB-2019",14280,67.1667,5.26743,1.32116  
"28-FEB-2019",14280,67.25,5.26743,1.31927  
"28-FEB-2019",14280,67.3333,5.26743,1.30739  
"28-FEB-2019",14280,67.4167,5.26743,1.29279  
"28-FEB-2019",14280,67.5,5.26743,1.30352  
"28-FEB-2019",14280,67.5833,5.26743,1.30593  
"28-FEB-2019",14280,67.6667,5.26743,1.31293  
"28-FEB-2019",14280,67.75,5.26743,1.29245  
"28-FEB-2019",14280,67.8333,5.26743,1.28205  
"28-FEB-2019",14280,67.9167,5.26743,1.26643  
"28-FEB-2019",14280,68,5.26743,1.27945  
"28-FEB-2019",14280,68.0833,5.26743,1.25613  
"28-FEB-2019",14280,68.1667,5.26743,1.2616  
"28-FEB-2019",14280,68.25,5.26743,1.23446  
"28-FEB-2019",14280,68.3333,5.26743,1.21786  
"28-FEB-2019",14280,68.4167,5.26743,1.25127  
"28-FEB-2019",14280,68.5,5.26743,1.28709  
"28-FEB-2019",14280,68.5833,5.26743,1.26529  
"28-FEB-2019",14280,68.6667,5.26743,1.26699  
"28-FEB-2019",14280,68.75,5.26743,1.2618  
"28-FEB-2019",14280,68.8333,5.26743,1.27207  
"28-FEB-2019",14280,68.9167,5.26743,1.26009  
"28-FEB-2019",14280,69,5.26743,1.29958  
"28-FEB-2019",14280,69.0833,5.26743,1.32405  
"28-FEB-2019",14280,69.1667,5.26743,1.31808  
"28-FEB-2019",14280,69.25,5.26743,1.4406  
"28-FEB-2019",14280,69.3333,5.26743,1.40984  
"28-FEB-2019",14280,69.4167,5.26743,1.41334  
"28-FEB-2019",14280,69.5,5.26743,1.30891  
"28-FEB-2019",14280,69.5833,5.26743,1.32491  
"28-FEB-2019",14280,69.6667,5.26743,1.25491  
"28-FEB-2019",14280,69.75,5.26743,1.31236  
"28-FEB-2019",14280,69.8333,5.26743,1.24315  
"28-FEB-2019",14280,69.9167,5.26743,1.2852  
"28-FEB-2019",14280,70,5.26743,1.29956  
"28-FEB-2019",14280,70.0833,5.26743,1.26839  
"28-FEB-2019",14280,70.1667,5.26743,1.23088  
"28-FEB-2019",14280,70.25,5.26743,1.17921  
"28-FEB-2019",14280,70.3333,5.26743,1.21811  
"28-FEB-2019",14280,70.4167,5.26743,1.23547  
"28-FEB-2019",14280,70.5,5.26743,1.21601  
"28-FEB-2019",14280,70.5833,5.26743,1.75413  
"28-FEB-2019",14280,70.6667,5.26743,1.73042  
"28-FEB-2019",14280,70.75,5.26743,1.72142  
"28-FEB-2019",14280,70.8333,5.26743,1.72039  
"28-FEB-2019",14280,70.9167,5.26743,1.59908  
"28-FEB-2019",14280,71,5.26743,1.61127  
"28-FEB-2019",14280,71.0833,5.26743,1.50599  
"28-FEB-2019",14280,71.1667,5.26743,1.44016  
"28-FEB-2019",14280,71.25,5.26743,1.29834  
"28-FEB-2019",14280,71.3333,5.26743,1.25064  
"28-FEB-2019",14280,71.4167,5.26743,1.39564  
"28-FEB-2019",14280,71.5,5.26743,1.25816  
"28-FEB-2019",14280,71.5833,5.26743,1.29514  
"28-FEB-2019",14280,71.6667,5.26743,1.36199  
"28-FEB-2019",14280,71.75,5.26743,1.72563  
"28-FEB-2019",14280,71.8333,5.26743,2.22107  
"28-FEB-2019",14280,71.9167,5.26743,1.31951  
"28-FEB-2019",14280,72,5.26743,1.13675  
"28-FEB-2019",14280,72.0833,5.26743,1.16809  
"28-FEB-2019",14280,72.1667,5.26743,1.12874  
"28-FEB-2019",14280,72.25,5.26743,1.1177  
"28-FEB-2019",14280,72.3333,5.26743,1.12129  
"28-FEB-2019",14280,72.4167,5.26743,1.21511  
"28-FEB-2019",14280,72.5,5.26743,1.15919  
"28-FEB-2019",14280,72.5833,5.26743,1.49454  
"28-FEB-2019",14280,72.6667,5.26743,1.41371  
"28-FEB-2019",14280,72.75,5.26743,1.32221  
"28-FEB-2019",14280,72.8333,5.26743,1.25377  
"28-FEB-2019",14280,72.9167,5.26743,-1.E+34  
"28-FEB-2019",14280,73,5.26743,-1.E+34  
"28-FEB-2019",14280,73.0833,5.26743,1.25778  
"28-FEB-2019",14280,73.1667,5.26743,1.15735  
"28-FEB-2019",14280,73.25,5.26743,1.41251  
"28-FEB-2019",14280,73.3333,5.26743,1.16025  
"28-FEB-2019",14280,73.4167,5.26743,1.12386  
"28-FEB-2019",14280,73.5,5.26743,1.14777  
"28-FEB-2019",14280,73.5833,5.26743,1.12525  
"28-FEB-2019",14280,73.6667,5.26743,1.13367  
"28-FEB-2019",14280,73.75,5.26743,1.18955  
"28-FEB-2019",14280,73.8333,5.26743,1.28062  
"28-FEB-2019",14280,73.9167,5.26743,1.17892  
"28-FEB-2019",14280,74,5.26743,1.18977  
"28-FEB-2019",14280,74.0833,5.26743,1.16832  
"28-FEB-2019",14280,74.1667,5.26743,1.15968  
"28-FEB-2019",14280,74.25,5.26743,1.17642  
"28-FEB-2019",14280,74.3333,5.26743,1.086  
"28-FEB-2019",14280,74.4167,5.26743,1.08723  
"28-FEB-2019",14280,74.5,5.26743,1.07183  
"28-FEB-2019",14280,74.5833,5.26743,1.13668  
"28-FEB-2019",14280,74.6667,5.26743,1.15175  
"28-FEB-2019",14280,74.75,5.26743,1.19042  
"28-FEB-2019",14280,74.8333,5.26743,1.23693  
"28-FEB-2019",14280,74.9167,5.26743,1.1969  
"28-FEB-2019",14280,75,5.26743,1.21694  
"28-FEB-2019",14280,75.0833,5.26743,1.24322  
"28-FEB-2019",14280,75.1667,5.26743,1.41253  
"28-FEB-2019",14280,75.25,5.26743,1.40801  
"28-FEB-2019",14280,75.3333,5.26743,1.3151  
"28-FEB-2019",14280,75.4167,5.26743,1.31954  
"28-FEB-2019",14280,75.5,5.26743,1.26752  
"28-FEB-2019",14280,75.5833,5.26743,1.2694  
"28-FEB-2019",14280,75.6667,5.26743,1.29025  
"28-FEB-2019",14280,75.75,5.26743,1.44575  
"28-FEB-2019",14280,75.8333,5.26743,1.41969  
"28-FEB-2019",14280,75.9167,5.26743,1.30207  
"28-FEB-2019",14280,76,5.26743,1.31307  
"28-FEB-2019",14280,76.0833,5.26743,1.30583  
"28-FEB-2019",14280,76.1667,5.26743,1.38507  
"28-FEB-2019",14280,76.25,5.26743,2.18482  
"28-FEB-2019",14280,76.3333,5.26743,2.26149  
"28-FEB-2019",14280,76.4167,5.26743,2.27037  
"28-FEB-2019",14280,76.5,5.26743,2.17334  
"28-FEB-2019",14280,76.5833,5.26743,2.08804  
"28-FEB-2019",14280,76.6667,5.26743,2.07933  
"28-FEB-2019",14280,76.75,5.26743,2.06311  
"28-FEB-2019",14280,76.8333,5.26743,2.05966  
"28-FEB-2019",14280,76.9167,5.26743,2.02086  
"28-FEB-2019",14280,77,5.26743,2.12542  
"28-FEB-2019",14280,77.0833,5.26743,1.61279  
"28-FEB-2019",14280,77.1667,5.26743,1.5746  
"28-FEB-2019",14280,77.25,5.26743,1.59658  
"28-FEB-2019",14280,77.3333,5.26743,1.2538  
"28-FEB-2019",14280,77.4167,5.26743,1.21879  
"28-FEB-2019",14280,77.5,5.26743,1.1533  
"28-FEB-2019",14280,77.5833,5.26743,1.12842  
"28-FEB-2019",14280,77.6667,5.26743,1.19267  
"28-FEB-2019",14280,77.75,5.26743,1.66153  
"28-FEB-2019",14280,77.8333,5.26743,1.78304  
"28-FEB-2019",14280,77.9167,5.26743,1.88046  
"28-FEB-2019",14280,78,5.26743,2.13581  
"28-FEB-2019",14280,78.0833,5.26743,1.50411  
"28-FEB-2019",14280,78.1667,5.26743,1.4902  
"28-FEB-2019",14280,78.25,5.26743,1.51095  
"28-FEB-2019",14280,78.3333,5.26743,1.64371  
"28-FEB-2019",14280,78.4167,5.26743,1.46292  
"28-FEB-2019",14280,78.5,5.26743,1.48116  
"28-FEB-2019",14280,78.5833,5.26743,1.45339  
"28-FEB-2019",14280,78.6667,5.26743,1.32238  
"28-FEB-2019",14280,78.75,5.26743,0.858536  
