Total Number of Records          76555.
             DATA SET: /home/las/datasets/pCO2/pCO2-Corrected_INCOIS-BIO-ROMS.nc
             X: 0.5 to 76555.5
 Column  1: DATETIME is Time String
 Column  2: TIME is Time Coordinates (days since 24-JAN-1980 00:00:00)   BAD FLAG : -1.E+34
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34
 Column  5: NO3 is Sea-surface nitrate concentration (IBR model) (milimole/m3)   BAD FLAG : -1.E+34
DATETIME,TIME,LON,LAT,NO3
"28-FEB-2019",14280,72.9167,5.26743,-1.E+34  
"28-FEB-2019",14280,73,5.26743,-1.E+34  
"28-FEB-2019",14280,73.0833,5.26743,0.0126089  
"28-FEB-2019",14280,73.1667,5.26743,0.0125663  
"28-FEB-2019",14280,73.25,5.26743,0.0113188  
"28-FEB-2019",14280,73.3333,5.26743,0.0118917  
"28-FEB-2019",14280,73.4167,5.26743,0.0110093  
"28-FEB-2019",14280,73.5,5.26743,0.0116719  
"28-FEB-2019",14280,73.5833,5.26743,0.0117172  
"28-FEB-2019",14280,73.6667,5.26743,0.0124245  
"28-FEB-2019",14280,73.75,5.26743,0.0133773  
"28-FEB-2019",14280,73.8333,5.26743,0.013874  
"28-FEB-2019",14280,73.9167,5.26743,0.0145276  
"28-FEB-2019",14280,74,5.26743,0.0148451  
"28-FEB-2019",14280,74.0833,5.26743,0.0144347  
"28-FEB-2019",14280,74.1667,5.26743,0.0141196  
"28-FEB-2019",14280,74.25,5.26743,0.0126798  
"28-FEB-2019",14280,74.3333,5.26743,0.0122588  
"28-FEB-2019",14280,74.4167,5.26743,0.0112873  
"28-FEB-2019",14280,74.5,5.26743,0.0111056  
"28-FEB-2019",14280,74.5833,5.26743,0.0105953  
"28-FEB-2019",14280,74.6667,5.26743,0.0101008  
"28-FEB-2019",14280,74.75,5.26743,0.00960307  
"28-FEB-2019",14280,74.8333,5.26743,0.00937747  
"28-FEB-2019",14280,74.9167,5.26743,0.00940014  
"28-FEB-2019",14280,75,5.26743,0.00967241  
"28-FEB-2019",14280,75.0833,5.26743,0.0101151  
