DATETIME,TIME,LON,LAT,MLD
"""29-JAN-2019""",14250,73.6667,5.26743,61.216
"""29-JAN-2019""",14250,73.75,5.26743,61.4883
"""29-JAN-2019""",14250,73.8333,5.26743,61.3093
"""29-JAN-2019""",14250,73.9167,5.26743,61.7211
"""29-JAN-2019""",14250,74,5.26743,61.12
"""29-JAN-2019""",14250,74.0833,5.26743,60.9348
"""29-JAN-2019""",14250,74.1667,5.26743,60.6672
"""29-JAN-2019""",14250,74.25,5.26743,60.5942
"""29-JAN-2019""",14250,74.3333,5.26743,60.3555
"""29-JAN-2019""",14250,74.4167,5.26743,60.2462
"""29-JAN-2019""",14250,74.5,5.26743,60.0057
"""29-JAN-2019""",14250,74.5833,5.26743,59.6398
"""29-JAN-2019""",14250,74.6667,5.26743,59.0184
"""29-JAN-2019""",14250,74.75,5.26743,58.4871
"""29-JAN-2019""",14250,74.8333,5.26743,58.0173
"""29-JAN-2019""",14250,74.9167,5.26743,57.5287
"""29-JAN-2019""",14250,75,5.26743,57.1189
"""29-JAN-2019""",14250,75.0833,5.26743,56.7021
"""29-JAN-2019""",14250,75.1667,5.26743,56.3091
"""29-JAN-2019""",14250,75.25,5.26743,55.9371
"""29-JAN-2019""",14250,75.3333,5.26743,55.6022
"""29-JAN-2019""",14250,75.4167,5.26743,55.3785
"""29-JAN-2019""",14250,75.5,5.26743,55.0653
"""29-JAN-2019""",14250,75.5833,5.26743,54.9099
"""29-JAN-2019""",14250,75.6667,5.26743,54.8073
"""29-JAN-2019""",14250,75.75,5.26743,54.6055
"""29-JAN-2019""",14250,75.8333,5.26743,54.4206
"""29-JAN-2019""",14250,75.9167,5.26743,54.1502
"""29-JAN-2019""",14250,76,5.26743,53.838
"""29-JAN-2019""",14250,76.0833,5.26743,53.5801
"""29-JAN-2019""",14250,76.1667,5.26743,53.3971
"""29-JAN-2019""",14250,76.25,5.26743,53.0381
"""29-JAN-2019""",14250,76.3333,5.26743,52.8135
"""29-JAN-2019""",14250,76.4167,5.26743,52.7212
"""29-JAN-2019""",14250,76.5,5.26743,52.5222
"""29-JAN-2019""",14250,76.5833,5.26743,52.5323
"""29-JAN-2019""",14250,76.6667,5.26743,52.3971
"""29-JAN-2019""",14250,76.75,5.26743,52.1838
"""29-JAN-2019""",14250,76.8333,5.26743,52.068
"""29-JAN-2019""",14250,76.9167,5.26743,52.0243
"""29-JAN-2019""",14250,77,5.26743,51.8806
"""29-JAN-2019""",14250,77.0833,5.26743,51.6655
"""29-JAN-2019""",14250,77.1667,5.26743,51.4929
"""29-JAN-2019""",14250,77.25,5.26743,51.4249
"""29-JAN-2019""",14250,77.3333,5.26743,51.3403
"""29-JAN-2019""",14250,77.4167,5.26743,51.2639
"""29-JAN-2019""",14250,77.5,5.26743,51.2412
"""29-JAN-2019""",14250,77.5833,5.26743,51.2561
"""29-JAN-2019""",14250,77.6667,5.26743,51.1664
"""29-JAN-2019""",14250,77.75,5.26743,51.1203
"""29-JAN-2019""",14250,77.8333,5.26743,51.157
"""29-JAN-2019""",14250,77.9167,5.26743,51.3243
"""29-JAN-2019""",14250,78,5.26743,51.485
"""29-JAN-2019""",14250,78.0833,5.26743,51.7702
"""29-JAN-2019""",14250,78.1667,5.26743,52.0183
"""29-JAN-2019""",14250,78.25,5.26743,52.1951
"""29-JAN-2019""",14250,78.3333,5.26743,52.2795
"""29-JAN-2019""",14250,78.4167,5.26743,52.3505
"""29-JAN-2019""",14250,78.5,5.26743,52.4746
"""29-JAN-2019""",14250,78.5833,5.26743,52.6564
"""29-JAN-2019""",14250,78.6667,5.26743,52.9304
"""29-JAN-2019""",14250,78.75,5.26743,53.1679
"""29-JAN-2019""",14250,78.8333,5.26743,53.2893
"""29-JAN-2019""",14250,78.9167,5.26743,53.3674
"""29-JAN-2019""",14250,79,5.26743,53.6406
"""29-JAN-2019""",14250,79.0833,5.26743,53.8188
"""29-JAN-2019""",14250,79.1667,5.26743,54.0947
"""29-JAN-2019""",14250,79.25,5.26743,54.346
"""29-JAN-2019""",14250,79.3333,5.26743,54.7533
"""29-JAN-2019""",14250,79.4167,5.26743,55.161
"""29-JAN-2019""",14250,79.5,5.26743,55.5768
"""29-JAN-2019""",14250,79.5833,5.26743,55.9954
"""29-JAN-2019""",14250,79.6667,5.26743,56.4599
"""29-JAN-2019""",14250,79.75,5.26743,56.9711
"""29-JAN-2019""",14250,79.8333,5.26743,57.4624
"""29-JAN-2019""",14250,79.9167,5.26743,58.0038
"""29-JAN-2019""",14250,80,5.26743,58.8121
"""29-JAN-2019""",14250,80.0833,5.26743,59.3876
"""29-JAN-2019""",14250,80.1667,5.26743,59.6056
"""29-JAN-2019""",14250,80.25,5.26743,59.6798
"""29-JAN-2019""",14250,80.3333,5.26743,59.692
"""29-JAN-2019""",14250,80.4167,5.26743,59.5257
"""29-JAN-2019""",14250,80.5,5.26743,59.5289
"""29-JAN-2019""",14250,80.5833,5.26743,59.0406
"""29-JAN-2019""",14250,80.6667,5.26743,58.4971
"""29-JAN-2019""",14250,80.75,5.26743,58.1381
"""29-JAN-2019""",14250,80.8333,5.26743,57.7056
"""29-JAN-2019""",14250,80.9167,5.26743,57.4521
"""29-JAN-2019""",14250,81,5.26743,56.5021
"""29-JAN-2019""",14250,81.0833,5.26743,56.042
"""29-JAN-2019""",14250,81.1667,5.26743,55.1225
"""29-JAN-2019""",14250,81.25,5.26743,54.6126
"""29-JAN-2019""",14250,81.3333,5.26743,53.7611
"""29-JAN-2019""",14250,81.4167,5.26743,53.376
"""29-JAN-2019""",14250,81.5,5.26743,52.7275
"""29-JAN-2019""",14250,81.5833,5.26743,52.404
"""29-JAN-2019""",14250,81.6667,5.26743,51.681
"""29-JAN-2019""",14250,81.75,5.26743,51.1994
"""29-JAN-2019""",14250,81.8333,5.26743,50.4583
"""29-JAN-2019""",14250,81.9167,5.26743,49.748
"""29-JAN-2019""",14250,82,5.26743,48.664
"""29-JAN-2019""",14250,82.0833,5.26743,47.7658
"""29-JAN-2019""",14250,82.1667,5.26743,46.8924
"""29-JAN-2019""",14250,82.25,5.26743,46.3682
"""29-JAN-2019""",14250,82.3333,5.26743,45.8316
"""29-JAN-2019""",14250,82.4167,5.26743,45.4357
"""29-JAN-2019""",14250,82.5,5.26743,44.9552
"""29-JAN-2019""",14250,82.5833,5.26743,44.5949
"""29-JAN-2019""",14250,82.6667,5.26743,44.2074
"""29-JAN-2019""",14250,82.75,5.26743,44.0378
"""29-JAN-2019""",14250,82.8333,5.26743,43.871
"""29-JAN-2019""",14250,82.9167,5.26743,43.6661
"""29-JAN-2019""",14250,83,5.26743,43.3705
"""29-JAN-2019""",14250,83.0833,5.26743,43.0337
"""29-JAN-2019""",14250,83.1667,5.26743,42.7004
"""29-JAN-2019""",14250,83.25,5.26743,42.4318
"""29-JAN-2019""",14250,83.3333,5.26743,42.1707
"""29-JAN-2019""",14250,83.4167,5.26743,41.8556
"""29-JAN-2019""",14250,83.5,5.26743,41.5831
"""29-JAN-2019""",14250,83.5833,5.26743,41.3127
"""29-JAN-2019""",14250,83.6667,5.26743,41.0415
"""29-JAN-2019""",14250,83.75,5.26743,40.7373
"""29-JAN-2019""",14250,83.8333,5.26743,40.4931
"""29-JAN-2019""",14250,83.9167,5.26743,40.2671
"""29-JAN-2019""",14250,84,5.26743,40.0132
"""29-JAN-2019""",14250,84.0833,5.26743,39.6352
"""29-JAN-2019""",14250,84.1667,5.26743,39.3885
"""29-JAN-2019""",14250,84.25,5.26743,39.0803
"""29-JAN-2019""",14250,84.3333,5.26743,38.7802
"""29-JAN-2019""",14250,84.4167,5.26743,38.4492
"""29-JAN-2019""",14250,84.5,5.26743,38.0318
"""29-JAN-2019""",14250,84.5833,5.26743,37.6864
"""29-JAN-2019""",14250,84.6667,5.26743,37.2929
"""29-JAN-2019""",14250,84.75,5.26743,37.0273
"""29-JAN-2019""",14250,84.8333,5.26743,36.6891
"""29-JAN-2019""",14250,84.9167,5.26743,36.3866
"""29-JAN-2019""",14250,85,5.26743,35.9886
"""29-JAN-2019""",14250,85.0833,5.26743,35.6418
