Total Number of Records          76555.
             DATA SET: /home/las/datasets/pCO2/pCO2-Corrected_INCOIS-BIO-ROMS.nc
             X: 0.5 to 76555.5
 Column  1: DATETIME is Time String
 Column  2: TIME is Time Coordinates (days since 24-JAN-1980 00:00:00)   BAD FLAG : -1.E+34
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34
 Column  5: SSS is Sea-surface salinity (IBR model) (PSU)   BAD FLAG : -1.E+34
DATETIME,TIME,LON,LAT,SSS
"28-FEB-2019",14280,65.8333,5.26743,35.0324  
"28-FEB-2019",14280,65.9167,5.26743,35.0278  
"28-FEB-2019",14280,66,5.26743,35.0236  
"28-FEB-2019",14280,66.0833,5.26743,35.0196  
"28-FEB-2019",14280,66.1667,5.26743,35.0164  
"28-FEB-2019",14280,66.25,5.26743,35.0139  
"28-FEB-2019",14280,66.3333,5.26743,35.0118  
"28-FEB-2019",14280,66.4167,5.26743,35.0097  
"28-FEB-2019",14280,66.5,5.26743,35.0091  
"28-FEB-2019",14280,66.5833,5.26743,35.0073  
"28-FEB-2019",14280,66.6667,5.26743,35.0073  
"28-FEB-2019",14280,66.75,5.26743,35.0057  
"28-FEB-2019",14280,66.8333,5.26743,35.0058  
"28-FEB-2019",14280,66.9167,5.26743,35.0045  
"28-FEB-2019",14280,67,5.26743,35.0053  
"28-FEB-2019",14280,67.0833,5.26743,35.0045  
"28-FEB-2019",14280,67.1667,5.26743,35.0038  
"28-FEB-2019",14280,67.25,5.26743,35.0027  
"28-FEB-2019",14280,67.3333,5.26743,35.0022  
"28-FEB-2019",14280,67.4167,5.26743,35.0011  
"28-FEB-2019",14280,67.5,5.26743,34.9997  
"28-FEB-2019",14280,67.5833,5.26743,34.9986  
"28-FEB-2019",14280,67.6667,5.26743,34.9967  
"28-FEB-2019",14280,67.75,5.26743,34.9953  
"28-FEB-2019",14280,67.8333,5.26743,34.994  
"28-FEB-2019",14280,67.9167,5.26743,34.9917  
"28-FEB-2019",14280,68,5.26743,34.9882  
"28-FEB-2019",14280,68.0833,5.26743,34.9839  
"28-FEB-2019",14280,68.1667,5.26743,34.9779  
"28-FEB-2019",14280,68.25,5.26743,34.9721  
"28-FEB-2019",14280,68.3333,5.26743,34.967  
"28-FEB-2019",14280,68.4167,5.26743,34.9629  
"28-FEB-2019",14280,68.5,5.26743,34.9593  
"28-FEB-2019",14280,68.5833,5.26743,34.9565  
"28-FEB-2019",14280,68.6667,5.26743,34.9535  
"28-FEB-2019",14280,68.75,5.26743,34.9514  
"28-FEB-2019",14280,68.8333,5.26743,34.9503  
"28-FEB-2019",14280,68.9167,5.26743,34.9509  
"28-FEB-2019",14280,69,5.26743,34.9517  
"28-FEB-2019",14280,69.0833,5.26743,34.9514  
"28-FEB-2019",14280,69.1667,5.26743,34.9539  
"28-FEB-2019",14280,69.25,5.26743,34.9561  
"28-FEB-2019",14280,69.3333,5.26743,34.9598  
"28-FEB-2019",14280,69.4167,5.26743,34.9605  
"28-FEB-2019",14280,69.5,5.26743,34.9616  
"28-FEB-2019",14280,69.5833,5.26743,34.9621  
"28-FEB-2019",14280,69.6667,5.26743,34.9629  
"28-FEB-2019",14280,69.75,5.26743,34.9638  
"28-FEB-2019",14280,69.8333,5.26743,34.9677  
"28-FEB-2019",14280,69.9167,5.26743,34.9717  
"28-FEB-2019",14280,70,5.26743,34.9772  
"28-FEB-2019",14280,70.0833,5.26743,34.982  
"28-FEB-2019",14280,70.1667,5.26743,34.9884  
"28-FEB-2019",14280,70.25,5.26743,34.9936  
"28-FEB-2019",14280,70.3333,5.26743,35.0018  
"28-FEB-2019",14280,70.4167,5.26743,35.0065  
"28-FEB-2019",14280,70.5,5.26743,35.0151  
"28-FEB-2019",14280,70.5833,5.26743,35.0189  
"28-FEB-2019",14280,70.6667,5.26743,35.0239  
"28-FEB-2019",14280,70.75,5.26743,35.0268  
"28-FEB-2019",14280,70.8333,5.26743,35.0284  
"28-FEB-2019",14280,70.9167,5.26743,35.0306  
"28-FEB-2019",14280,71,5.26743,35.0309  
"28-FEB-2019",14280,71.0833,5.26743,35.0329  
"28-FEB-2019",14280,71.1667,5.26743,35.0328  
"28-FEB-2019",14280,71.25,5.26743,35.0337  
"28-FEB-2019",14280,71.3333,5.26743,35.0321  
"28-FEB-2019",14280,71.4167,5.26743,35.0322  
"28-FEB-2019",14280,71.5,5.26743,35.0305  
"28-FEB-2019",14280,71.5833,5.26743,35.0303  
"28-FEB-2019",14280,71.6667,5.26743,35.0306  
"28-FEB-2019",14280,71.75,5.26743,35.0317  
"28-FEB-2019",14280,71.8333,5.26743,35.0313  
"28-FEB-2019",14280,71.9167,5.26743,35.0316  
"28-FEB-2019",14280,72,5.26743,35.0285  
"28-FEB-2019",14280,72.0833,5.26743,35.0252  
"28-FEB-2019",14280,72.1667,5.26743,35.0237  
"28-FEB-2019",14280,72.25,5.26743,35.022  
"28-FEB-2019",14280,72.3333,5.26743,35.0217  
"28-FEB-2019",14280,72.4167,5.26743,35.0225  
"28-FEB-2019",14280,72.5,5.26743,35.0231  
"28-FEB-2019",14280,72.5833,5.26743,35.0251  
"28-FEB-2019",14280,72.6667,5.26743,35.0291  
"28-FEB-2019",14280,72.75,5.26743,35.0362  
"28-FEB-2019",14280,72.8333,5.26743,35.0421  
"28-FEB-2019",14280,72.9167,5.26743,-1.E+34  
"28-FEB-2019",14280,73,5.26743,-1.E+34  
"28-FEB-2019",14280,73.0833,5.26743,35.021  
"28-FEB-2019",14280,73.1667,5.26743,35.015  
"28-FEB-2019",14280,73.25,5.26743,35.0172  
"28-FEB-2019",14280,73.3333,5.26743,35.0172  
"28-FEB-2019",14280,73.4167,5.26743,35.0224  
"28-FEB-2019",14280,73.5,5.26743,35.0217  
"28-FEB-2019",14280,73.5833,5.26743,35.0289  
"28-FEB-2019",14280,73.6667,5.26743,35.0266  
"28-FEB-2019",14280,73.75,5.26743,35.0395  
"28-FEB-2019",14280,73.8333,5.26743,35.0394  
"28-FEB-2019",14280,73.9167,5.26743,35.0529  
"28-FEB-2019",14280,74,5.26743,35.0537  
"28-FEB-2019",14280,74.0833,5.26743,35.058  
"28-FEB-2019",14280,74.1667,5.26743,35.0495  
"28-FEB-2019",14280,74.25,5.26743,35.039  
"28-FEB-2019",14280,74.3333,5.26743,35.0205  
"28-FEB-2019",14280,74.4167,5.26743,35.0122  
"28-FEB-2019",14280,74.5,5.26743,35.007  
"28-FEB-2019",14280,74.5833,5.26743,35.002  
"28-FEB-2019",14280,74.6667,5.26743,34.9975  
"28-FEB-2019",14280,74.75,5.26743,34.9914  
