Total Number of Records          76555.
             DATA SET: /home/las/datasets/pCO2/pCO2-Corrected_INCOIS-BIO-ROMS.nc
             X: 0.5 to 76555.5
 Column  1: DATETIME is Time String
 Column  2: TIME is Time Coordinates (days since 24-JAN-1980 00:00:00)   BAD FLAG : -1.E+34
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34
 Column  5: PCO2_ORIGINAL is Surface partial pressure of CO2 (pCO2 from IBR model) (micro atm)   BAD FLAG : -1.E+34
DATETIME,TIME,LON,LAT,PCO2_ORIGINAL
"28-FEB-2019",14280,73.3333,5.26743,414.042  
"28-FEB-2019",14280,73.4167,5.26743,415.823  
"28-FEB-2019",14280,73.5,5.26743,417.617  
"28-FEB-2019",14280,73.5833,5.26743,418.167  
"28-FEB-2019",14280,73.6667,5.26743,418.505  
"28-FEB-2019",14280,73.75,5.26743,418.893  
"28-FEB-2019",14280,73.8333,5.26743,418.291  
"28-FEB-2019",14280,73.9167,5.26743,418.071  
"28-FEB-2019",14280,74,5.26743,417.391  
"28-FEB-2019",14280,74.0833,5.26743,417.595  
"28-FEB-2019",14280,74.1667,5.26743,418.406  
"28-FEB-2019",14280,74.25,5.26743,419.338  
"28-FEB-2019",14280,74.3333,5.26743,420.753  
"28-FEB-2019",14280,74.4167,5.26743,422.695  
"28-FEB-2019",14280,74.5,5.26743,424.839  
"28-FEB-2019",14280,74.5833,5.26743,427.674  
"28-FEB-2019",14280,74.6667,5.26743,428.46  
"28-FEB-2019",14280,74.75,5.26743,427.859  
"28-FEB-2019",14280,74.8333,5.26743,426.828  
"28-FEB-2019",14280,74.9167,5.26743,427.354  
"28-FEB-2019",14280,75,5.26743,427.708  
"28-FEB-2019",14280,75.0833,5.26743,427.873  
"28-FEB-2019",14280,75.1667,5.26743,427.678  
"28-FEB-2019",14280,75.25,5.26743,427.94  
"28-FEB-2019",14280,75.3333,5.26743,427.253  
"28-FEB-2019",14280,75.4167,5.26743,426.702  
"28-FEB-2019",14280,75.5,5.26743,425.811  
"28-FEB-2019",14280,75.5833,5.26743,425.048  
"28-FEB-2019",14280,75.6667,5.26743,424.391  
"28-FEB-2019",14280,75.75,5.26743,423.945  
"28-FEB-2019",14280,75.8333,5.26743,422.893  
"28-FEB-2019",14280,75.9167,5.26743,422.477  
"28-FEB-2019",14280,76,5.26743,422.792  
"28-FEB-2019",14280,76.0833,5.26743,422.91  
