DATETIME,TIME,LON,LAT,NO3
"""29-JAN-2019""",14250,73.4167,5.26743,0.0150297
"""29-JAN-2019""",14250,73.5,5.26743,0.0158961
"""29-JAN-2019""",14250,73.5833,5.26743,0.0157882
"""29-JAN-2019""",14250,73.6667,5.26743,0.016778
"""29-JAN-2019""",14250,73.75,5.26743,0.0170379
"""29-JAN-2019""",14250,73.8333,5.26743,0.0175974
"""29-JAN-2019""",14250,73.9167,5.26743,0.0174851
"""29-JAN-2019""",14250,74,5.26743,0.0179254
"""29-JAN-2019""",14250,74.0833,5.26743,0.017955
"""29-JAN-2019""",14250,74.1667,5.26743,0.018853
"""29-JAN-2019""",14250,74.25,5.26743,0.0188423
"""29-JAN-2019""",14250,74.3333,5.26743,0.0193984
"""29-JAN-2019""",14250,74.4167,5.26743,0.0192346
"""29-JAN-2019""",14250,74.5,5.26743,0.0191183
"""29-JAN-2019""",14250,74.5833,5.26743,0.0190351
"""29-JAN-2019""",14250,74.6667,5.26743,0.0189587
"""29-JAN-2019""",14250,74.75,5.26743,0.0189792
"""29-JAN-2019""",14250,74.8333,5.26743,0.0192304
"""29-JAN-2019""",14250,74.9167,5.26743,0.0186641
"""29-JAN-2019""",14250,75,5.26743,0.0192751
"""29-JAN-2019""",14250,75.0833,5.26743,0.0190461
"""29-JAN-2019""",14250,75.1667,5.26743,0.0197919
"""29-JAN-2019""",14250,75.25,5.26743,0.0199417
"""29-JAN-2019""",14250,75.3333,5.26743,0.0206016
"""29-JAN-2019""",14250,75.4167,5.26743,0.0205818
"""29-JAN-2019""",14250,75.5,5.26743,0.0209785
"""29-JAN-2019""",14250,75.5833,5.26743,0.0216762
"""29-JAN-2019""",14250,75.6667,5.26743,0.0213342
"""29-JAN-2019""",14250,75.75,5.26743,0.0218546
"""29-JAN-2019""",14250,75.8333,5.26743,0.0217859
"""29-JAN-2019""",14250,75.9167,5.26743,0.022189
"""29-JAN-2019""",14250,76,5.26743,0.0219562
"""29-JAN-2019""",14250,76.0833,5.26743,0.0218846
"""29-JAN-2019""",14250,76.1667,5.26743,0.0215885
"""29-JAN-2019""",14250,76.25,5.26743,0.0214449
"""29-JAN-2019""",14250,76.3333,5.26743,0.0213814
"""29-JAN-2019""",14250,76.4167,5.26743,0.0214824
"""29-JAN-2019""",14250,76.5,5.26743,0.0218945
"""29-JAN-2019""",14250,76.5833,5.26743,0.0224494
"""29-JAN-2019""",14250,76.6667,5.26743,0.0226182
"""29-JAN-2019""",14250,76.75,5.26743,0.0229338
"""29-JAN-2019""",14250,76.8333,5.26743,0.0232973
"""29-JAN-2019""",14250,76.9167,5.26743,0.0228173
"""29-JAN-2019""",14250,77,5.26743,0.0230503
"""29-JAN-2019""",14250,77.0833,5.26743,0.0220663
"""29-JAN-2019""",14250,77.1667,5.26743,0.0224478
"""29-JAN-2019""",14250,77.25,5.26743,0.0215624
"""29-JAN-2019""",14250,77.3333,5.26743,0.0212621
"""29-JAN-2019""",14250,77.4167,5.26743,0.0204409
"""29-JAN-2019""",14250,77.5,5.26743,0.0200481
"""29-JAN-2019""",14250,77.5833,5.26743,0.0196105
"""29-JAN-2019""",14250,77.6667,5.26743,0.0199284
"""29-JAN-2019""",14250,77.75,5.26743,0.0196602
"""29-JAN-2019""",14250,77.8333,5.26743,0.0188369
"""29-JAN-2019""",14250,77.9167,5.26743,0.0182932
"""29-JAN-2019""",14250,78,5.26743,0.0170175
"""29-JAN-2019""",14250,78.0833,5.26743,0.0167024
"""29-JAN-2019""",14250,78.1667,5.26743,0.0157642
"""29-JAN-2019""",14250,78.25,5.26743,0.0160596
"""29-JAN-2019""",14250,78.3333,5.26743,0.0143966
"""29-JAN-2019""",14250,78.4167,5.26743,0.0140239
"""29-JAN-2019""",14250,78.5,5.26743,0.0140737
"""29-JAN-2019""",14250,78.5833,5.26743,0.0130013
"""29-JAN-2019""",14250,78.6667,5.26743,0.0128994
"""29-JAN-2019""",14250,78.75,5.26743,0.0120048
"""29-JAN-2019""",14250,78.8333,5.26743,0.0112332
"""29-JAN-2019""",14250,78.9167,5.26743,0.00973191
"""29-JAN-2019""",14250,79,5.26743,0.0102436
"""29-JAN-2019""",14250,79.0833,5.26743,0.00927154
"""29-JAN-2019""",14250,79.1667,5.26743,0.00974468
"""29-JAN-2019""",14250,79.25,5.26743,0.00947915
"""29-JAN-2019""",14250,79.3333,5.26743,0.0100053
"""29-JAN-2019""",14250,79.4167,5.26743,0.010145
"""29-JAN-2019""",14250,79.5,5.26743,0.0103196
"""29-JAN-2019""",14250,79.5833,5.26743,0.0104226
"""29-JAN-2019""",14250,79.6667,5.26743,0.0110771
"""29-JAN-2019""",14250,79.75,5.26743,0.0115324
"""29-JAN-2019""",14250,79.8333,5.26743,0.012121
"""29-JAN-2019""",14250,79.9167,5.26743,0.0125742
"""29-JAN-2019""",14250,80,5.26743,0.0135564
"""29-JAN-2019""",14250,80.0833,5.26743,0.0146464
"""29-JAN-2019""",14250,80.1667,5.26743,0.017084
"""29-JAN-2019""",14250,80.25,5.26743,0.0197863
"""29-JAN-2019""",14250,80.3333,5.26743,0.0225102
"""29-JAN-2019""",14250,80.4167,5.26743,0.0236072
"""29-JAN-2019""",14250,80.5,5.26743,0.0241056
"""29-JAN-2019""",14250,80.5833,5.26743,0.0247741
"""29-JAN-2019""",14250,80.6667,5.26743,0.0242267
