DATETIME,TIME,LON,LAT,SST
"""29-JAN-2019""",14250,73.6667,5.26743,28.6634
"""29-JAN-2019""",14250,73.75,5.26743,28.6475
"""29-JAN-2019""",14250,73.8333,5.26743,28.6384
"""29-JAN-2019""",14250,73.9167,5.26743,28.6222
"""29-JAN-2019""",14250,74,5.26743,28.6136
"""29-JAN-2019""",14250,74.0833,5.26743,28.6005
"""29-JAN-2019""",14250,74.1667,5.26743,28.5866
"""29-JAN-2019""",14250,74.25,5.26743,28.58
"""29-JAN-2019""",14250,74.3333,5.26743,28.5628
"""29-JAN-2019""",14250,74.4167,5.26743,28.5552
"""29-JAN-2019""",14250,74.5,5.26743,28.5353
"""29-JAN-2019""",14250,74.5833,5.26743,28.5195
"""29-JAN-2019""",14250,74.6667,5.26743,28.497
"""29-JAN-2019""",14250,74.75,5.26743,28.478
"""29-JAN-2019""",14250,74.8333,5.26743,28.456
"""29-JAN-2019""",14250,74.9167,5.26743,28.4368
"""29-JAN-2019""",14250,75,5.26743,28.4176
"""29-JAN-2019""",14250,75.0833,5.26743,28.3896
"""29-JAN-2019""",14250,75.1667,5.26743,28.3677
"""29-JAN-2019""",14250,75.25,5.26743,28.3317
"""29-JAN-2019""",14250,75.3333,5.26743,28.3145
"""29-JAN-2019""",14250,75.4167,5.26743,28.2822
"""29-JAN-2019""",14250,75.5,5.26743,28.2647
"""29-JAN-2019""",14250,75.5833,5.26743,28.2444
"""29-JAN-2019""",14250,75.6667,5.26743,28.2345
"""29-JAN-2019""",14250,75.75,5.26743,28.2274
"""29-JAN-2019""",14250,75.8333,5.26743,28.2324
"""29-JAN-2019""",14250,75.9167,5.26743,28.2373
"""29-JAN-2019""",14250,76,5.26743,28.2519
"""29-JAN-2019""",14250,76.0833,5.26743,28.2668
"""29-JAN-2019""",14250,76.1667,5.26743,28.2856
"""29-JAN-2019""",14250,76.25,5.26743,28.3096
"""29-JAN-2019""",14250,76.3333,5.26743,28.334
"""29-JAN-2019""",14250,76.4167,5.26743,28.3582
"""29-JAN-2019""",14250,76.5,5.26743,28.3815
"""29-JAN-2019""",14250,76.5833,5.26743,28.4044
"""29-JAN-2019""",14250,76.6667,5.26743,28.4194
"""29-JAN-2019""",14250,76.75,5.26743,28.434
"""29-JAN-2019""",14250,76.8333,5.26743,28.4457
"""29-JAN-2019""",14250,76.9167,5.26743,28.4531
"""29-JAN-2019""",14250,77,5.26743,28.4589
"""29-JAN-2019""",14250,77.0833,5.26743,28.4665
"""29-JAN-2019""",14250,77.1667,5.26743,28.4748
"""29-JAN-2019""",14250,77.25,5.26743,28.4849
"""29-JAN-2019""",14250,77.3333,5.26743,28.4974
"""29-JAN-2019""",14250,77.4167,5.26743,28.5119
"""29-JAN-2019""",14250,77.5,5.26743,28.5244
"""29-JAN-2019""",14250,77.5833,5.26743,28.5323
"""29-JAN-2019""",14250,77.6667,5.26743,28.5402
"""29-JAN-2019""",14250,77.75,5.26743,28.5458
"""29-JAN-2019""",14250,77.8333,5.26743,28.5477
"""29-JAN-2019""",14250,77.9167,5.26743,28.5491
"""29-JAN-2019""",14250,78,5.26743,28.5479
"""29-JAN-2019""",14250,78.0833,5.26743,28.552
"""29-JAN-2019""",14250,78.1667,5.26743,28.5671
"""29-JAN-2019""",14250,78.25,5.26743,28.5848
"""29-JAN-2019""",14250,78.3333,5.26743,28.6091
"""29-JAN-2019""",14250,78.4167,5.26743,28.6275
"""29-JAN-2019""",14250,78.5,5.26743,28.6389
"""29-JAN-2019""",14250,78.5833,5.26743,28.6497
"""29-JAN-2019""",14250,78.6667,5.26743,28.6605
"""29-JAN-2019""",14250,78.75,5.26743,28.6683
"""29-JAN-2019""",14250,78.8333,5.26743,28.6782
"""29-JAN-2019""",14250,78.9167,5.26743,28.6901
"""29-JAN-2019""",14250,79,5.26743,28.701
"""29-JAN-2019""",14250,79.0833,5.26743,28.7152
"""29-JAN-2019""",14250,79.1667,5.26743,28.7237
"""29-JAN-2019""",14250,79.25,5.26743,28.7368
"""29-JAN-2019""",14250,79.3333,5.26743,28.7416
"""29-JAN-2019""",14250,79.4167,5.26743,28.7461
"""29-JAN-2019""",14250,79.5,5.26743,28.7492
"""29-JAN-2019""",14250,79.5833,5.26743,28.751
"""29-JAN-2019""",14250,79.6667,5.26743,28.752
"""29-JAN-2019""",14250,79.75,5.26743,28.7473
"""29-JAN-2019""",14250,79.8333,5.26743,28.737
"""29-JAN-2019""",14250,79.9167,5.26743,28.7125
"""29-JAN-2019""",14250,80,5.26743,28.6706
"""29-JAN-2019""",14250,80.0833,5.26743,28.6343
"""29-JAN-2019""",14250,80.1667,5.26743,28.6057
"""29-JAN-2019""",14250,80.25,5.26743,28.5922
"""29-JAN-2019""",14250,80.3333,5.26743,28.5689
"""29-JAN-2019""",14250,80.4167,5.26743,28.5418
"""29-JAN-2019""",14250,80.5,5.26743,28.4928
"""29-JAN-2019""",14250,80.5833,5.26743,28.4429
"""29-JAN-2019""",14250,80.6667,5.26743,28.3971
"""29-JAN-2019""",14250,80.75,5.26743,28.3648
"""29-JAN-2019""",14250,80.8333,5.26743,28.3468
"""29-JAN-2019""",14250,80.9167,5.26743,28.3284
"""29-JAN-2019""",14250,81,5.26743,28.3062
"""29-JAN-2019""",14250,81.0833,5.26743,28.2946
"""29-JAN-2019""",14250,81.1667,5.26743,28.2751
"""29-JAN-2019""",14250,81.25,5.26743,28.2648
"""29-JAN-2019""",14250,81.3333,5.26743,28.2602
"""29-JAN-2019""",14250,81.4167,5.26743,28.2603
"""29-JAN-2019""",14250,81.5,5.26743,28.2689
"""29-JAN-2019""",14250,81.5833,5.26743,28.2878
"""29-JAN-2019""",14250,81.6667,5.26743,28.2985
"""29-JAN-2019""",14250,81.75,5.26743,28.324
"""29-JAN-2019""",14250,81.8333,5.26743,28.3355
"""29-JAN-2019""",14250,81.9167,5.26743,28.3497
"""29-JAN-2019""",14250,82,5.26743,28.3614
"""29-JAN-2019""",14250,82.0833,5.26743,28.3725
"""29-JAN-2019""",14250,82.1667,5.26743,28.3896
"""29-JAN-2019""",14250,82.25,5.26743,28.4031
"""29-JAN-2019""",14250,82.3333,5.26743,28.4199
"""29-JAN-2019""",14250,82.4167,5.26743,28.4336
"""29-JAN-2019""",14250,82.5,5.26743,28.4488
"""29-JAN-2019""",14250,82.5833,5.26743,28.4624
"""29-JAN-2019""",14250,82.6667,5.26743,28.4782
"""29-JAN-2019""",14250,82.75,5.26743,28.4912
"""29-JAN-2019""",14250,82.8333,5.26743,28.5039
"""29-JAN-2019""",14250,82.9167,5.26743,28.5151
"""29-JAN-2019""",14250,83,5.26743,28.5253
"""29-JAN-2019""",14250,83.0833,5.26743,28.5341
"""29-JAN-2019""",14250,83.1667,5.26743,28.544
"""29-JAN-2019""",14250,83.25,5.26743,28.5537
"""29-JAN-2019""",14250,83.3333,5.26743,28.5632
"""29-JAN-2019""",14250,83.4167,5.26743,28.5734
"""29-JAN-2019""",14250,83.5,5.26743,28.5826
"""29-JAN-2019""",14250,83.5833,5.26743,28.5923
"""29-JAN-2019""",14250,83.6667,5.26743,28.5996
"""29-JAN-2019""",14250,83.75,5.26743,28.6091
"""29-JAN-2019""",14250,83.8333,5.26743,28.6169
"""29-JAN-2019""",14250,83.9167,5.26743,28.6251
"""29-JAN-2019""",14250,84,5.26743,28.634
"""29-JAN-2019""",14250,84.0833,5.26743,28.6411
"""29-JAN-2019""",14250,84.1667,5.26743,28.6513
"""29-JAN-2019""",14250,84.25,5.26743,28.6575
"""29-JAN-2019""",14250,84.3333,5.26743,28.6664
"""29-JAN-2019""",14250,84.4167,5.26743,28.6717
"""29-JAN-2019""",14250,84.5,5.26743,28.679
"""29-JAN-2019""",14250,84.5833,5.26743,28.6835
"""29-JAN-2019""",14250,84.6667,5.26743,28.6901
"""29-JAN-2019""",14250,84.75,5.26743,28.6961
"""29-JAN-2019""",14250,84.8333,5.26743,28.7025
"""29-JAN-2019""",14250,84.9167,5.26743,28.7095
"""29-JAN-2019""",14250,85,5.26743,28.7181
"""29-JAN-2019""",14250,85.0833,5.26743,28.726
"""29-JAN-2019""",14250,85.1667,5.26743,28.7344
"""29-JAN-2019""",14250,85.25,5.26743,28.7425
"""29-JAN-2019""",14250,85.3333,5.26743,28.7503
"""29-JAN-2019""",14250,85.4167,5.26743,28.757
"""29-JAN-2019""",14250,85.5,5.26743,28.7638
"""29-JAN-2019""",14250,85.5833,5.26743,28.7665
"""29-JAN-2019""",14250,85.6667,5.26743,28.7709
"""29-JAN-2019""",14250,85.75,5.26743,28.7727
"""29-JAN-2019""",14250,85.8333,5.26743,28.7736
"""29-JAN-2019""",14250,85.9167,5.26743,28.7763
"""29-JAN-2019""",14250,86,5.26743,28.7735
"""29-JAN-2019""",14250,86.0833,5.26743,28.7745
"""29-JAN-2019""",14250,86.1667,5.26743,28.7726
"""29-JAN-2019""",14250,86.25,5.26743,28.7724
"""29-JAN-2019""",14250,86.3333,5.26743,28.7715
"""29-JAN-2019""",14250,86.4167,5.26743,28.7734
"""29-JAN-2019""",14250,86.5,5.26743,28.7766
"""29-JAN-2019""",14250,86.5833,5.26743,28.7793
"""29-JAN-2019""",14250,86.6667,5.26743,28.7819
"""29-JAN-2019""",14250,86.75,5.26743,28.7809
"""29-JAN-2019""",14250,86.8333,5.26743,28.7804
"""29-JAN-2019""",14250,86.9167,5.26743,28.7798
"""29-JAN-2019""",14250,87,5.26743,28.7791
"""29-JAN-2019""",14250,87.0833,5.26743,28.7837
"""29-JAN-2019""",14250,87.1667,5.26743,28.7891
"""29-JAN-2019""",14250,87.25,5.26743,28.797
"""29-JAN-2019""",14250,87.3333,5.26743,28.8069
"""29-JAN-2019""",14250,87.4167,5.26743,28.8135
"""29-JAN-2019""",14250,87.5,5.26743,28.8247
"""29-JAN-2019""",14250,87.5833,5.26743,28.8326
"""29-JAN-2019""",14250,87.6667,5.26743,28.8429
"""29-JAN-2019""",14250,87.75,5.26743,28.8471
"""29-JAN-2019""",14250,87.8333,5.26743,28.8548
"""29-JAN-2019""",14250,87.9167,5.26743,28.856
"""29-JAN-2019""",14250,88,5.26743,28.8616
"""29-JAN-2019""",14250,88.0833,5.26743,28.8644
"""29-JAN-2019""",14250,88.1667,5.26743,28.871
"""29-JAN-2019""",14250,88.25,5.26743,28.8752
"""29-JAN-2019""",14250,88.3333,5.26743,28.8842
"""29-JAN-2019""",14250,88.4167,5.26743,28.8851
"""29-JAN-2019""",14250,88.5,5.26743,28.8915
"""29-JAN-2019""",14250,88.5833,5.26743,28.8898
"""29-JAN-2019""",14250,88.6667,5.26743,28.891
"""29-JAN-2019""",14250,88.75,5.26743,28.8869
"""29-JAN-2019""",14250,88.8333,5.26743,28.8921
"""29-JAN-2019""",14250,88.9167,5.26743,28.8826
"""29-JAN-2019""",14250,89,5.26743,28.8903
"""29-JAN-2019""",14250,89.0833,5.26743,28.8827
"""29-JAN-2019""",14250,89.1667,5.26743,28.8892
"""29-JAN-2019""",14250,89.25,5.26743,28.8831
"""29-JAN-2019""",14250,89.3333,5.26743,28.887
"""29-JAN-2019""",14250,89.4167,5.26743,28.8798
"""29-JAN-2019""",14250,89.5,5.26743,28.8843
"""29-JAN-2019""",14250,89.5833,5.26743,28.88
"""29-JAN-2019""",14250,89.6667,5.26743,28.8694
"""29-JAN-2019""",14250,89.75,5.26743,28.8784
"""29-JAN-2019""",14250,89.8333,5.26743,28.8732
"""29-JAN-2019""",14250,89.9167,5.26743,28.872
"""29-JAN-2019""",14250,90,5.26743,28.8729
"""29-JAN-2019""",14250,90.0833,5.26743,28.8749
"""29-JAN-2019""",14250,90.1667,5.26743,28.8787
"""29-JAN-2019""",14250,90.25,5.26743,28.8805
"""29-JAN-2019""",14250,90.3333,5.26743,28.8829
"""29-JAN-2019""",14250,90.4167,5.26743,28.8866
"""29-JAN-2019""",14250,90.5,5.26743,28.8803
"""29-JAN-2019""",14250,90.5833,5.26743,28.8884
"""29-JAN-2019""",14250,90.6667,5.26743,28.8814
"""29-JAN-2019""",14250,90.75,5.26743,28.888
"""29-JAN-2019""",14250,90.8333,5.26743,28.8833
"""29-JAN-2019""",14250,90.9167,5.26743,28.89
"""29-JAN-2019""",14250,91,5.26743,28.8858
"""29-JAN-2019""",14250,91.0833,5.26743,28.8915
"""29-JAN-2019""",14250,91.1667,5.26743,28.8924
"""29-JAN-2019""",14250,65.8333,5.35041,28.7743
"""29-JAN-2019""",14250,65.9167,5.35041,28.7795
"""29-JAN-2019""",14250,66,5.35041,28.7823
"""29-JAN-2019""",14250,66.0833,5.35041,28.7888
"""29-JAN-2019""",14250,66.1667,5.35041,28.7937
"""29-JAN-2019""",14250,66.25,5.35041,28.8
"""29-JAN-2019""",14250,66.3333,5.35041,28.8051
"""29-JAN-2019""",14250,66.4167,5.35041,28.8104
"""29-JAN-2019""",14250,66.5,5.35041,28.8173
"""29-JAN-2019""",14250,66.5833,5.35041,28.8245
