DATETIME,TIME,LON,LAT,SSS
"""29-JAN-2019""",14250,73.6667,5.26743,35.1123
"""29-JAN-2019""",14250,73.75,5.26743,35.1096
"""29-JAN-2019""",14250,73.8333,5.26743,35.1077
"""29-JAN-2019""",14250,73.9167,5.26743,35.105
"""29-JAN-2019""",14250,74,5.26743,35.1008
"""29-JAN-2019""",14250,74.0833,5.26743,35.1006
"""29-JAN-2019""",14250,74.1667,5.26743,35.0957
"""29-JAN-2019""",14250,74.25,5.26743,35.0971
"""29-JAN-2019""",14250,74.3333,5.26743,35.0925
"""29-JAN-2019""",14250,74.4167,5.26743,35.0931
"""29-JAN-2019""",14250,74.5,5.26743,35.0885
"""29-JAN-2019""",14250,74.5833,5.26743,35.0843
"""29-JAN-2019""",14250,74.6667,5.26743,35.0767
"""29-JAN-2019""",14250,74.75,5.26743,35.0696
"""29-JAN-2019""",14250,74.8333,5.26743,35.062
"""29-JAN-2019""",14250,74.9167,5.26743,35.0544
"""29-JAN-2019""",14250,75,5.26743,35.0475
"""29-JAN-2019""",14250,75.0833,5.26743,35.0356
"""29-JAN-2019""",14250,75.1667,5.26743,35.0271
"""29-JAN-2019""",14250,75.25,5.26743,35.0122
"""29-JAN-2019""",14250,75.3333,5.26743,35.006
"""29-JAN-2019""",14250,75.4167,5.26743,34.9936
"""29-JAN-2019""",14250,75.5,5.26743,34.988
"""29-JAN-2019""",14250,75.5833,5.26743,34.9819
"""29-JAN-2019""",14250,75.6667,5.26743,34.9809
"""29-JAN-2019""",14250,75.75,5.26743,34.9789
"""29-JAN-2019""",14250,75.8333,5.26743,34.9832
"""29-JAN-2019""",14250,75.9167,5.26743,34.9844
"""29-JAN-2019""",14250,76,5.26743,34.9898
"""29-JAN-2019""",14250,76.0833,5.26743,34.9942
"""29-JAN-2019""",14250,76.1667,5.26743,35.003
"""29-JAN-2019""",14250,76.25,5.26743,35.0122
"""29-JAN-2019""",14250,76.3333,5.26743,35.0227
"""29-JAN-2019""",14250,76.4167,5.26743,35.0316
"""29-JAN-2019""",14250,76.5,5.26743,35.0368
"""29-JAN-2019""",14250,76.5833,5.26743,35.0426
"""29-JAN-2019""",14250,76.6667,5.26743,35.0436
"""29-JAN-2019""",14250,76.75,5.26743,35.0431
"""29-JAN-2019""",14250,76.8333,5.26743,35.0427
"""29-JAN-2019""",14250,76.9167,5.26743,35.0397
"""29-JAN-2019""",14250,77,5.26743,35.0355
"""29-JAN-2019""",14250,77.0833,5.26743,35.0305
"""29-JAN-2019""",14250,77.1667,5.26743,35.0252
"""29-JAN-2019""",14250,77.25,5.26743,35.0194
"""29-JAN-2019""",14250,77.3333,5.26743,35.0148
"""29-JAN-2019""",14250,77.4167,5.26743,35.0086
"""29-JAN-2019""",14250,77.5,5.26743,35.002
"""29-JAN-2019""",14250,77.5833,5.26743,34.9955
"""29-JAN-2019""",14250,77.6667,5.26743,34.9876
"""29-JAN-2019""",14250,77.75,5.26743,34.9796
"""29-JAN-2019""",14250,77.8333,5.26743,34.9712
"""29-JAN-2019""",14250,77.9167,5.26743,34.9631
"""29-JAN-2019""",14250,78,5.26743,34.9545
"""29-JAN-2019""",14250,78.0833,5.26743,34.9484
"""29-JAN-2019""",14250,78.1667,5.26743,34.9463
"""29-JAN-2019""",14250,78.25,5.26743,34.9469
"""29-JAN-2019""",14250,78.3333,5.26743,34.9479
"""29-JAN-2019""",14250,78.4167,5.26743,34.9458
"""29-JAN-2019""",14250,78.5,5.26743,34.943
"""29-JAN-2019""",14250,78.5833,5.26743,34.9398
"""29-JAN-2019""",14250,78.6667,5.26743,34.9384
"""29-JAN-2019""",14250,78.75,5.26743,34.9359
"""29-JAN-2019""",14250,78.8333,5.26743,34.9333
"""29-JAN-2019""",14250,78.9167,5.26743,34.9306
"""29-JAN-2019""",14250,79,5.26743,34.9302
"""29-JAN-2019""",14250,79.0833,5.26743,34.9292
"""29-JAN-2019""",14250,79.1667,5.26743,34.9284
"""29-JAN-2019""",14250,79.25,5.26743,34.9271
"""29-JAN-2019""",14250,79.3333,5.26743,34.9249
"""29-JAN-2019""",14250,79.4167,5.26743,34.9228
"""29-JAN-2019""",14250,79.5,5.26743,34.9212
"""29-JAN-2019""",14250,79.5833,5.26743,34.9189
"""29-JAN-2019""",14250,79.6667,5.26743,34.9177
"""29-JAN-2019""",14250,79.75,5.26743,34.9152
"""29-JAN-2019""",14250,79.8333,5.26743,34.9109
"""29-JAN-2019""",14250,79.9167,5.26743,34.9014
"""29-JAN-2019""",14250,80,5.26743,34.8851
"""29-JAN-2019""",14250,80.0833,5.26743,34.875
"""29-JAN-2019""",14250,80.1667,5.26743,34.866
"""29-JAN-2019""",14250,80.25,5.26743,34.8647
"""29-JAN-2019""",14250,80.3333,5.26743,34.8617
"""29-JAN-2019""",14250,80.4167,5.26743,34.8588
"""29-JAN-2019""",14250,80.5,5.26743,34.8449
"""29-JAN-2019""",14250,80.5833,5.26743,34.8306
"""29-JAN-2019""",14250,80.6667,5.26743,34.8136
"""29-JAN-2019""",14250,80.75,5.26743,34.8047
"""29-JAN-2019""",14250,80.8333,5.26743,34.8053
"""29-JAN-2019""",14250,80.9167,5.26743,34.8101
"""29-JAN-2019""",14250,81,5.26743,34.8033
"""29-JAN-2019""",14250,81.0833,5.26743,34.8119
"""29-JAN-2019""",14250,81.1667,5.26743,34.8065
"""29-JAN-2019""",14250,81.25,5.26743,34.8145
"""29-JAN-2019""",14250,81.3333,5.26743,34.8167
"""29-JAN-2019""",14250,81.4167,5.26743,34.8252
"""29-JAN-2019""",14250,81.5,5.26743,34.8352
"""29-JAN-2019""",14250,81.5833,5.26743,34.8495
"""29-JAN-2019""",14250,81.6667,5.26743,34.85
"""29-JAN-2019""",14250,81.75,5.26743,34.8637
"""29-JAN-2019""",14250,81.8333,5.26743,34.8665
"""29-JAN-2019""",14250,81.9167,5.26743,34.8661
"""29-JAN-2019""",14250,82,5.26743,34.8638
"""29-JAN-2019""",14250,82.0833,5.26743,34.8597
"""29-JAN-2019""",14250,82.1667,5.26743,34.8607
"""29-JAN-2019""",14250,82.25,5.26743,34.859
"""29-JAN-2019""",14250,82.3333,5.26743,34.8588
"""29-JAN-2019""",14250,82.4167,5.26743,34.8581
"""29-JAN-2019""",14250,82.5,5.26743,34.8572
"""29-JAN-2019""",14250,82.5833,5.26743,34.8558
"""29-JAN-2019""",14250,82.6667,5.26743,34.8553
"""29-JAN-2019""",14250,82.75,5.26743,34.8531
"""29-JAN-2019""",14250,82.8333,5.26743,34.8502
"""29-JAN-2019""",14250,82.9167,5.26743,34.8476
"""29-JAN-2019""",14250,83,5.26743,34.8446
"""29-JAN-2019""",14250,83.0833,5.26743,34.8415
"""29-JAN-2019""",14250,83.1667,5.26743,34.8401
"""29-JAN-2019""",14250,83.25,5.26743,34.8376
"""29-JAN-2019""",14250,83.3333,5.26743,34.8373
"""29-JAN-2019""",14250,83.4167,5.26743,34.836
"""29-JAN-2019""",14250,83.5,5.26743,34.8358
"""29-JAN-2019""",14250,83.5833,5.26743,34.834
"""29-JAN-2019""",14250,83.6667,5.26743,34.8337
"""29-JAN-2019""",14250,83.75,5.26743,34.8311
"""29-JAN-2019""",14250,83.8333,5.26743,34.8287
"""29-JAN-2019""",14250,83.9167,5.26743,34.8246
"""29-JAN-2019""",14250,84,5.26743,34.8203
"""29-JAN-2019""",14250,84.0833,5.26743,34.8144
"""29-JAN-2019""",14250,84.1667,5.26743,34.8109
"""29-JAN-2019""",14250,84.25,5.26743,34.8052
"""29-JAN-2019""",14250,84.3333,5.26743,34.8006
"""29-JAN-2019""",14250,84.4167,5.26743,34.795
"""29-JAN-2019""",14250,84.5,5.26743,34.7878
"""29-JAN-2019""",14250,84.5833,5.26743,34.782
"""29-JAN-2019""",14250,84.6667,5.26743,34.7748
"""29-JAN-2019""",14250,84.75,5.26743,34.7705
"""29-JAN-2019""",14250,84.8333,5.26743,34.765
"""29-JAN-2019""",14250,84.9167,5.26743,34.7606
"""29-JAN-2019""",14250,85,5.26743,34.756
"""29-JAN-2019""",14250,85.0833,5.26743,34.752
"""29-JAN-2019""",14250,85.1667,5.26743,34.749
"""29-JAN-2019""",14250,85.25,5.26743,34.7454
"""29-JAN-2019""",14250,85.3333,5.26743,34.7418
"""29-JAN-2019""",14250,85.4167,5.26743,34.7368
"""29-JAN-2019""",14250,85.5,5.26743,34.7325
"""29-JAN-2019""",14250,85.5833,5.26743,34.726
"""29-JAN-2019""",14250,85.6667,5.26743,34.7194
"""29-JAN-2019""",14250,85.75,5.26743,34.7127
"""29-JAN-2019""",14250,85.8333,5.26743,34.7052
"""29-JAN-2019""",14250,85.9167,5.26743,34.6987
"""29-JAN-2019""",14250,86,5.26743,34.6895
"""29-JAN-2019""",14250,86.0833,5.26743,34.6825
"""29-JAN-2019""",14250,86.1667,5.26743,34.6727
"""29-JAN-2019""",14250,86.25,5.26743,34.6641
"""29-JAN-2019""",14250,86.3333,5.26743,34.6572
"""29-JAN-2019""",14250,86.4167,5.26743,34.6491
"""29-JAN-2019""",14250,86.5,5.26743,34.6453
"""29-JAN-2019""",14250,86.5833,5.26743,34.6377
"""29-JAN-2019""",14250,86.6667,5.26743,34.6349
"""29-JAN-2019""",14250,86.75,5.26743,34.6256
"""29-JAN-2019""",14250,86.8333,5.26743,34.6197
"""29-JAN-2019""",14250,86.9167,5.26743,34.6098
"""29-JAN-2019""",14250,87,5.26743,34.6025
"""29-JAN-2019""",14250,87.0833,5.26743,34.5928
"""29-JAN-2019""",14250,87.1667,5.26743,34.5827
"""29-JAN-2019""",14250,87.25,5.26743,34.571
"""29-JAN-2019""",14250,87.3333,5.26743,34.5629
"""29-JAN-2019""",14250,87.4167,5.26743,34.5506
"""29-JAN-2019""",14250,87.5,5.26743,34.5413
