DATETIME,TIME,LON,LAT,DEVIANT_UNCERTAINTY
"""29-JAN-2019""",14250,73.5833,5.26743,1.04111
"""29-JAN-2019""",14250,73.6667,5.26743,1.1469
"""29-JAN-2019""",14250,73.75,5.26743,1.13523
"""29-JAN-2019""",14250,73.8333,5.26743,1.12566
"""29-JAN-2019""",14250,73.9167,5.26743,1.11573
"""29-JAN-2019""",14250,74,5.26743,1.08115
"""29-JAN-2019""",14250,74.0833,5.26743,1.11011
"""29-JAN-2019""",14250,74.1667,5.26743,1.14252
"""29-JAN-2019""",14250,74.25,5.26743,1.13346
"""29-JAN-2019""",14250,74.3333,5.26743,1.11989
"""29-JAN-2019""",14250,74.4167,5.26743,1.07867
"""29-JAN-2019""",14250,74.5,5.26743,1.02506
"""29-JAN-2019""",14250,74.5833,5.26743,0.93291
"""29-JAN-2019""",14250,74.6667,5.26743,0.979365
"""29-JAN-2019""",14250,74.75,5.26743,1.0182
"""29-JAN-2019""",14250,74.8333,5.26743,1.46558
"""29-JAN-2019""",14250,74.9167,5.26743,1.3716
"""29-JAN-2019""",14250,75,5.26743,1.45084
"""29-JAN-2019""",14250,75.0833,5.26743,1.42709
"""29-JAN-2019""",14250,75.1667,5.26743,1.16604
"""29-JAN-2019""",14250,75.25,5.26743,1.12135
"""29-JAN-2019""",14250,75.3333,5.26743,1.17039
"""29-JAN-2019""",14250,75.4167,5.26743,1.37881
"""29-JAN-2019""",14250,75.5,5.26743,1.32741
"""29-JAN-2019""",14250,75.5833,5.26743,1.41518
"""29-JAN-2019""",14250,75.6667,5.26743,1.41054
"""29-JAN-2019""",14250,75.75,5.26743,1.40073
"""29-JAN-2019""",14250,75.8333,5.26743,1.39547
"""29-JAN-2019""",14250,75.9167,5.26743,1.42309
"""29-JAN-2019""",14250,76,5.26743,1.41883
"""29-JAN-2019""",14250,76.0833,5.26743,1.33187
"""29-JAN-2019""",14250,76.1667,5.26743,1.35281
"""29-JAN-2019""",14250,76.25,5.26743,1.12729
"""29-JAN-2019""",14250,76.3333,5.26743,1.13107
"""29-JAN-2019""",14250,76.4167,5.26743,1.21549
"""29-JAN-2019""",14250,76.5,5.26743,1.30703
"""29-JAN-2019""",14250,76.5833,5.26743,1.08211
"""29-JAN-2019""",14250,76.6667,5.26743,1.10344
"""29-JAN-2019""",14250,76.75,5.26743,1.09405
"""29-JAN-2019""",14250,76.8333,5.26743,1.0817
"""29-JAN-2019""",14250,76.9167,5.26743,1.1744
"""29-JAN-2019""",14250,77,5.26743,1.2098
"""29-JAN-2019""",14250,77.0833,5.26743,1.14412
"""29-JAN-2019""",14250,77.1667,5.26743,1.13711
"""29-JAN-2019""",14250,77.25,5.26743,1.13783
"""29-JAN-2019""",14250,77.3333,5.26743,1.12531
"""29-JAN-2019""",14250,77.4167,5.26743,1.09147
"""29-JAN-2019""",14250,77.5,5.26743,1.20401
"""29-JAN-2019""",14250,77.5833,5.26743,1.1886
"""29-JAN-2019""",14250,77.6667,5.26743,1.19393
"""29-JAN-2019""",14250,77.75,5.26743,1.1343
"""29-JAN-2019""",14250,77.8333,5.26743,1.1143
"""29-JAN-2019""",14250,77.9167,5.26743,1.10801
"""29-JAN-2019""",14250,78,5.26743,1.11929
"""29-JAN-2019""",14250,78.0833,5.26743,1.98162
"""29-JAN-2019""",14250,78.1667,5.26743,2.00771
"""29-JAN-2019""",14250,78.25,5.26743,1.9849
"""29-JAN-2019""",14250,78.3333,5.26743,1.9734
"""29-JAN-2019""",14250,78.4167,5.26743,2.03631
"""29-JAN-2019""",14250,78.5,5.26743,1.96991
"""29-JAN-2019""",14250,78.5833,5.26743,2.13571
"""29-JAN-2019""",14250,78.6667,5.26743,2.07933
"""29-JAN-2019""",14250,78.75,5.26743,1.74329
"""29-JAN-2019""",14250,78.8333,5.26743,1.7297
"""29-JAN-2019""",14250,78.9167,5.26743,1.73072
"""29-JAN-2019""",14250,79,5.26743,1.69455
"""29-JAN-2019""",14250,79.0833,5.26743,1.64133
"""29-JAN-2019""",14250,79.1667,5.26743,1.64439
"""29-JAN-2019""",14250,79.25,5.26743,1.69159
"""29-JAN-2019""",14250,79.3333,5.26743,1.66767
"""29-JAN-2019""",14250,79.4167,5.26743,1.66983
"""29-JAN-2019""",14250,79.5,5.26743,1.71514
"""29-JAN-2019""",14250,79.5833,5.26743,1.7068
"""29-JAN-2019""",14250,79.6667,5.26743,1.67367
"""29-JAN-2019""",14250,79.75,5.26743,1.66169
"""29-JAN-2019""",14250,79.8333,5.26743,1.63887
"""29-JAN-2019""",14250,79.9167,5.26743,1.82617
"""29-JAN-2019""",14250,80,5.26743,1.53659
"""29-JAN-2019""",14250,80.0833,5.26743,1.66408
"""29-JAN-2019""",14250,80.1667,5.26743,1.69944
"""29-JAN-2019""",14250,80.25,5.26743,1.83535
"""29-JAN-2019""",14250,80.3333,5.26743,1.84661
"""29-JAN-2019""",14250,80.4167,5.26743,1.84252
"""29-JAN-2019""",14250,80.5,5.26743,1.91624
"""29-JAN-2019""",14250,80.5833,5.26743,2.02908
"""29-JAN-2019""",14250,80.6667,5.26743,1.99242
"""29-JAN-2019""",14250,80.75,5.26743,1.94204
"""29-JAN-2019""",14250,80.8333,5.26743,1.86629
"""29-JAN-2019""",14250,80.9167,5.26743,1.8924
"""29-JAN-2019""",14250,81,5.26743,1.89881
"""29-JAN-2019""",14250,81.0833,5.26743,1.69813
"""29-JAN-2019""",14250,81.1667,5.26743,1.62438
"""29-JAN-2019""",14250,81.25,5.26743,1.62838
"""29-JAN-2019""",14250,81.3333,5.26743,1.64409
"""29-JAN-2019""",14250,81.4167,5.26743,1.62186
"""29-JAN-2019""",14250,81.5,5.26743,2.04491
"""29-JAN-2019""",14250,81.5833,5.26743,2.06238
"""29-JAN-2019""",14250,81.6667,5.26743,2.07291
"""29-JAN-2019""",14250,81.75,5.26743,2.04836
"""29-JAN-2019""",14250,81.8333,5.26743,2.12377
"""29-JAN-2019""",14250,81.9167,5.26743,2.12921
"""29-JAN-2019""",14250,82,5.26743,2.032
"""29-JAN-2019""",14250,82.0833,5.26743,2.02431
"""29-JAN-2019""",14250,82.1667,5.26743,2.01898
"""29-JAN-2019""",14250,82.25,5.26743,2.04442
"""29-JAN-2019""",14250,82.3333,5.26743,1.8405
"""29-JAN-2019""",14250,82.4167,5.26743,1.81249
"""29-JAN-2019""",14250,82.5,5.26743,1.93542
"""29-JAN-2019""",14250,82.5833,5.26743,1.81947
"""29-JAN-2019""",14250,82.6667,5.26743,1.9096
"""29-JAN-2019""",14250,82.75,5.26743,1.89359
"""29-JAN-2019""",14250,82.8333,5.26743,1.89183
"""29-JAN-2019""",14250,82.9167,5.26743,1.90311
"""29-JAN-2019""",14250,83,5.26743,1.83876
"""29-JAN-2019""",14250,83.0833,5.26743,1.86965
"""29-JAN-2019""",14250,83.1667,5.26743,1.87768
"""29-JAN-2019""",14250,83.25,5.26743,1.74018
"""29-JAN-2019""",14250,83.3333,5.26743,1.70174
"""29-JAN-2019""",14250,83.4167,5.26743,1.83501
"""29-JAN-2019""",14250,83.5,5.26743,1.80874
"""29-JAN-2019""",14250,83.5833,5.26743,1.83466
"""29-JAN-2019""",14250,83.6667,5.26743,1.6487
"""29-JAN-2019""",14250,83.75,5.26743,1.72974
"""29-JAN-2019""",14250,83.8333,5.26743,1.75172
"""29-JAN-2019""",14250,83.9167,5.26743,1.75488
"""29-JAN-2019""",14250,84,5.26743,1.94775
"""29-JAN-2019""",14250,84.0833,5.26743,1.86852
"""29-JAN-2019""",14250,84.1667,5.26743,1.8109
"""29-JAN-2019""",14250,84.25,5.26743,1.82081
"""29-JAN-2019""",14250,84.3333,5.26743,1.86024
"""29-JAN-2019""",14250,84.4167,5.26743,1.80263
"""29-JAN-2019""",14250,84.5,5.26743,2.04961
"""29-JAN-2019""",14250,84.5833,5.26743,1.83498
"""29-JAN-2019""",14250,84.6667,5.26743,1.62001
"""29-JAN-2019""",14250,84.75,5.26743,1.47818
"""29-JAN-2019""",14250,84.8333,5.26743,1.60008
"""29-JAN-2019""",14250,84.9167,5.26743,1.60594
"""29-JAN-2019""",14250,85,5.26743,1.58471
"""29-JAN-2019""",14250,85.0833,5.26743,1.83289
"""29-JAN-2019""",14250,85.1667,5.26743,1.84525
"""29-JAN-2019""",14250,85.25,5.26743,1.63054
"""29-JAN-2019""",14250,85.3333,5.26743,1.6248
"""29-JAN-2019""",14250,85.4167,5.26743,1.2509
"""29-JAN-2019""",14250,85.5,5.26743,1.21673
"""29-JAN-2019""",14250,85.5833,5.26743,1.06832
"""29-JAN-2019""",14250,85.6667,5.26743,1.09141
"""29-JAN-2019""",14250,85.75,5.26743,1.05417
"""29-JAN-2019""",14250,85.8333,5.26743,1.1004
"""29-JAN-2019""",14250,85.9167,5.26743,1.14008
"""29-JAN-2019""",14250,86,5.26743,1.08636
"""29-JAN-2019""",14250,86.0833,5.26743,1.02581
"""29-JAN-2019""",14250,86.1667,5.26743,0.998465
"""29-JAN-2019""",14250,86.25,5.26743,1.03015
"""29-JAN-2019""",14250,86.3333,5.26743,0.957418
"""29-JAN-2019""",14250,86.4167,5.26743,0.960365
"""29-JAN-2019""",14250,86.5,5.26743,0.958355
"""29-JAN-2019""",14250,86.5833,5.26743,0.981941
"""29-JAN-2019""",14250,86.6667,5.26743,0.971624
"""29-JAN-2019""",14250,86.75,5.26743,0.978705
"""29-JAN-2019""",14250,86.8333,5.26743,0.984033
"""29-JAN-2019""",14250,86.9167,5.26743,0.984351
"""29-JAN-2019""",14250,87,5.26743,0.996881
"""29-JAN-2019""",14250,87.0833,5.26743,0.975202
"""29-JAN-2019""",14250,87.1667,5.26743,1.08076
"""29-JAN-2019""",14250,87.25,5.26743,1.00257
"""29-JAN-2019""",14250,87.3333,5.26743,0.997907
"""29-JAN-2019""",14250,87.4167,5.26743,0.962221
"""29-JAN-2019""",14250,87.5,5.26743,0.985164
"""29-JAN-2019""",14250,87.5833,5.26743,0.968941
"""29-JAN-2019""",14250,87.6667,5.26743,0.985497
"""29-JAN-2019""",14250,87.75,5.26743,0.978372
"""29-JAN-2019""",14250,87.8333,5.26743,0.999843
"""29-JAN-2019""",14250,87.9167,5.26743,1.03855
"""29-JAN-2019""",14250,88,5.26743,0.970596
"""29-JAN-2019""",14250,88.0833,5.26743,0.937187
"""29-JAN-2019""",14250,88.1667,5.26743,0.997006
"""29-JAN-2019""",14250,88.25,5.26743,0.988974
"""29-JAN-2019""",14250,88.3333,5.26743,1.0299
"""29-JAN-2019""",14250,88.4167,5.26743,1.03197
"""29-JAN-2019""",14250,88.5,5.26743,1.03418
"""29-JAN-2019""",14250,88.5833,5.26743,1.06683
"""29-JAN-2019""",14250,88.6667,5.26743,1.08904
"""29-JAN-2019""",14250,88.75,5.26743,1.02261
"""29-JAN-2019""",14250,88.8333,5.26743,1.04323
"""29-JAN-2019""",14250,88.9167,5.26743,0.996154
"""29-JAN-2019""",14250,89,5.26743,1.0008
"""29-JAN-2019""",14250,89.0833,5.26743,0.98048
"""29-JAN-2019""",14250,89.1667,5.26743,0.976833
"""29-JAN-2019""",14250,89.25,5.26743,1.11127
"""29-JAN-2019""",14250,89.3333,5.26743,1.22653
"""29-JAN-2019""",14250,89.4167,5.26743,1.23374
"""29-JAN-2019""",14250,89.5,5.26743,1.24323
"""29-JAN-2019""",14250,89.5833,5.26743,1.12846
"""29-JAN-2019""",14250,89.6667,5.26743,1.16833
"""29-JAN-2019""",14250,89.75,5.26743,1.60542
"""29-JAN-2019""",14250,89.8333,5.26743,1.06816
"""29-JAN-2019""",14250,89.9167,5.26743,1.14562
"""29-JAN-2019""",14250,90,5.26743,1.09666
"""29-JAN-2019""",14250,90.0833,5.26743,1.10905
"""29-JAN-2019""",14250,90.1667,5.26743,2.087
"""29-JAN-2019""",14250,90.25,5.26743,2.08046
"""29-JAN-2019""",14250,90.3333,5.26743,2.11093
"""29-JAN-2019""",14250,90.4167,5.26743,2.13349
"""29-JAN-2019""",14250,90.5,5.26743,1.89291
"""29-JAN-2019""",14250,90.5833,5.26743,2.15703
"""29-JAN-2019""",14250,90.6667,5.26743,2.18034
"""29-JAN-2019""",14250,90.75,5.26743,2.17735
"""29-JAN-2019""",14250,90.8333,5.26743,1.95877
"""29-JAN-2019""",14250,90.9167,5.26743,2.86918
"""29-JAN-2019""",14250,91,5.26743,3.1835
"""29-JAN-2019""",14250,91.0833,5.26743,3.16242
"""29-JAN-2019""",14250,91.1667,5.26743,3.2252
"""29-JAN-2019""",14250,65.8333,5.35041,1.06256
"""29-JAN-2019""",14250,65.9167,5.35041,1.06777
"""29-JAN-2019""",14250,66,5.35041,1.06376
"""29-JAN-2019""",14250,66.0833,5.35041,1.05498
"""29-JAN-2019""",14250,66.1667,5.35041,1.0731
"""29-JAN-2019""",14250,66.25,5.35041,1.11682
"""29-JAN-2019""",14250,66.3333,5.35041,1.09573
"""29-JAN-2019""",14250,66.4167,5.35041,1.11082
"""29-JAN-2019""",14250,66.5,5.35041,1.1818
"""29-JAN-2019""",14250,66.5833,5.35041,2.01156
"""29-JAN-2019""",14250,66.6667,5.35041,1.07551
"""29-JAN-2019""",14250,66.75,5.35041,1.07629
"""29-JAN-2019""",14250,66.8333,5.35041,1.0811
"""29-JAN-2019""",14250,66.9167,5.35041,1.37122
"""29-JAN-2019""",14250,67,5.35041,1.3708
"""29-JAN-2019""",14250,67.0833,5.35041,1.36014
"""29-JAN-2019""",14250,67.1667,5.35041,1.36594
"""29-JAN-2019""",14250,67.25,5.35041,1.41475
"""29-JAN-2019""",14250,67.3333,5.35041,1.48517
"""29-JAN-2019""",14250,67.4167,5.35041,1.43905
"""29-JAN-2019""",14250,67.5,5.35041,1.438
"""29-JAN-2019""",14250,67.5833,5.35041,1.47459
"""29-JAN-2019""",14250,67.6667,5.35041,1.51779
"""29-JAN-2019""",14250,67.75,5.35041,1.55016
"""29-JAN-2019""",14250,67.8333,5.35041,2.27693
"""29-JAN-2019""",14250,67.9167,5.35041,1.95586
"""29-JAN-2019""",14250,68,5.35041,1.96826
"""29-JAN-2019""",14250,68.0833,5.35041,1.96862
"""29-JAN-2019""",14250,68.1667,5.35041,1.71038
"""29-JAN-2019""",14250,68.25,5.35041,1.7787
"""29-JAN-2019""",14250,68.3333,5.35041,1.41194
"""29-JAN-2019""",14250,68.4167,5.35041,1.38279
"""29-JAN-2019""",14250,68.5,5.35041,1.41679
"""29-JAN-2019""",14250,68.5833,5.35041,1.43472
"""29-JAN-2019""",14250,68.6667,5.35041,1.44886
"""29-JAN-2019""",14250,68.75,5.35041,1.48405
"""29-JAN-2019""",14250,68.8333,5.35041,1.45772
"""29-JAN-2019""",14250,68.9167,5.35041,1.48665
"""29-JAN-2019""",14250,69,5.35041,1.44941
"""29-JAN-2019""",14250,69.0833,5.35041,1.44711
"""29-JAN-2019""",14250,69.1667,5.35041,1.48612
"""29-JAN-2019""",14250,69.25,5.35041,1.51006
"""29-JAN-2019""",14250,69.3333,5.35041,1.55667
"""29-JAN-2019""",14250,69.4167,5.35041,1.50594
"""29-JAN-2019""",14250,69.5,5.35041,1.52045
"""29-JAN-2019""",14250,69.5833,5.35041,1.48845
"""29-JAN-2019""",14250,69.6667,5.35041,1.42646
"""29-JAN-2019""",14250,69.75,5.35041,1.80785
"""29-JAN-2019""",14250,69.8333,5.35041,1.41034
"""29-JAN-2019""",14250,69.9167,5.35041,1.3982
"""29-JAN-2019""",14250,70,5.35041,1.24929
"""29-JAN-2019""",14250,70.0833,5.35041,1.63198
"""29-JAN-2019""",14250,70.1667,5.35041,1.62426
"""29-JAN-2019""",14250,70.25,5.35041,1.63434
"""29-JAN-2019""",14250,70.3333,5.35041,1.69475
"""29-JAN-2019""",14250,70.4167,5.35041,1.7066
"""29-JAN-2019""",14250,70.5,5.35041,1.79642
"""29-JAN-2019""",14250,70.5833,5.35041,1.3305
"""29-JAN-2019""",14250,70.6667,5.35041,1.28079
"""29-JAN-2019""",14250,70.75,5.35041,1.24837
"""29-JAN-2019""",14250,70.8333,5.35041,1.1931
"""29-JAN-2019""",14250,70.9167,5.35041,1.21853
"""29-JAN-2019""",14250,71,5.35041,1.22069
"""29-JAN-2019""",14250,71.0833,5.35041,1.17772
"""29-JAN-2019""",14250,71.1667,5.35041,1.17667
"""29-JAN-2019""",14250,71.25,5.35041,1.16695
"""29-JAN-2019""",14250,71.3333,5.35041,1.13198
"""29-JAN-2019""",14250,71.4167,5.35041,1.13643
"""29-JAN-2019""",14250,71.5,5.35041,1.13463
"""29-JAN-2019""",14250,71.5833,5.35041,1.1288
"""29-JAN-2019""",14250,71.6667,5.35041,1.11848
"""29-JAN-2019""",14250,71.75,5.35041,1.11931
"""29-JAN-2019""",14250,71.8333,5.35041,1.15786
